studyid,esid,n,age_grp,channel_loc,channel_cl,sleep_con,sleep_stg,task_type,mem_type,mem_det,mem_form,sp_type,measure,mean_sp_amp,mean_sp_amp_unit,covariate,es_type,es,notes
1,1,15,YA,Fz,frontal,nap,mixed,Spatial,declarative,diff,sub,fast,amp,NaN,NaN,1,pearson,0.2393,"Allocentric, Water Maze Task"
1,2,15,YA,Cz,central,nap,mixed,Spatial,declarative,diff,sub,slow,amp,NaN,NaN,1,pearson,-0.196,"Allocentric, Water Maze Task"
1,3,15,YA,Fz,frontal,nap,mixed,Spatial,declarative,diff,sub,fast,amp,NaN,NaN,1,pearson,0.324,"Egocentric, Water Maze Task"
1,4,15,YA,Cz,central,nap,mixed,Spatial,declarative,diff,sub,slow,amp,NaN,NaN,1,pearson,0.0319,"Egocentric, Water Maze Task"
2,5,30,YA,"F3, F4, C3, C4",mixed,overnight,n2,TMR,declarative,post,sub,fast,amp,18.67 ± 3.258,μV,1,pearson,-0.1984,Confounding Variables in Groups
2,6,30,YA,"F3, F4, C3, C4",mixed,overnight,sws,TMR,declarative,post,sub,fast,amp,17.22 ± 3.223,μV,1,pearson,-0.28023,Confounding Variables in Groups
3,7,34,YA,"F3, Fz, F4",frontal,nap,mixed,WP,declarative,diff,div,fast,amp,35.22 ± 7.998,μV,0,pearson,-0.0145,
3,8,34,YA,"C3, Cz, C4",central,nap,mixed,WP,declarative,diff,div,fast,amp,33.9 ± 8.563,μV,0,pearson,-0.0711,
3,9,34,YA,"P3, Pz, P4, O1, O2",parietal_occipital,nap,mixed,WP,declarative,diff,div,fast,amp,28.64 ± 8.498,μV,0,pearson,-0.1847,
3,10,28,YA,"F3, Fz, F4",frontal,nap,mixed,WP,declarative,diff,div,slow,amp,41.45 ± 9.43,μV,0,pearson,-0.0222,
3,11,28,YA,"C3, Cz, C4",central,nap,mixed,WP,declarative,diff,div,slow,amp,37.18 ± 9.76,μV,0,pearson,-0.0896,
3,12,28,YA,"P3, Pz, P4, O1, O2",parietal_occipital,nap,mixed,WP,declarative,diff,div,slow,amp,32.03 ± 10.4,μV,0,pearson,-0.277,
4,13,15,AD,"F3, Fz, F4",frontal,overnight,mixed,2DL,declarative,diff,div,mixed,amp,25.77 ± 5.681,μV,0,pearson,0.5232,
4,14,15,AD,"C3, Cz, C4",central,overnight,mixed,2DL,declarative,diff,div,mixed,amp,21.2 ± 4.372,μV,0,pearson,0.5343,
4,15,15,AD,"P3, Pz, P4, O1, O2",parietal_occipital,overnight,mixed,2DL,declarative,diff,div,mixed,amp,21.4 ± 4.447,μV,0,pearson,0.3783,
5,16,33,CH,"F3, Fz, F4",frontal,overnight,sws,WP,declarative,diff,div,mixed,amp,0.4937 ± 0.1489,1/f corrected,1,pearson,-0.1877,Repeated Measurement CH & AD
5,17,33,CH,"C3, Cz, C4",central,overnight,sws,WP,declarative,diff,div,mixed,amp,0.5117 ± 0.1626,1/f corrected,1,pearson,-0.225,Repeated Measurement CH & AD
5,18,33,CH,"P3, Pz, P4, O1, O2",parietal_occipital,overnight,sws,WP,declarative,diff,div,mixed,amp,0.4494 ± 0.1224,1/f corrected,1,pearson,-0.2796,Repeated Measurement CH & AD
5,19,33,AD,"F3, Fz, F4",frontal,overnight,sws,WP,declarative,diff,div,mixed,amp,0.5173 ± 0.1509,1/f corrected,1,pearson,0.2143,Repeated Measurement CH & AD
5,20,33,AD,"C3, Cz, C4",central,overnight,sws,WP,declarative,diff,div,mixed,amp,0.5693 ± 0.1478,1/f corrected,1,pearson,0.3446,Repeated Measurement CH & AD
5,21,33,AD,"P3, Pz, P4, O1, O2",parietal_occipital,overnight,sws,WP,declarative,diff,div,mixed,amp,0.5026 ± 0.1202,1/f corrected,1,pearson,0.299,Repeated Measurement CH & AD
6,22,17,AD,"F3, Fz, F4",frontal,overnight,sws,Juggle,motor,diff,sub,mixed,amp,NaN,1/f corrected,0,spearman,-0.2557,
