Fp2,Fp1,AF8,AF4,AFz,AF3,AF7,F8,F6,F4,F2,Fz,F1,F3,F5,F7,FC6,FC4,FC2,FCz,FC1,FC3,FC5,T8,C6,C4,C2,Cz,C1,C3,C5,T7,TP8,CP6,CP4,CP2,CPz,CP1,CP3,CP5,TP7,P8,P6,P4,P2,Pz,P1,P3,P5,P7,PO8,PO4,POz,PO3,PO7,O2,O1
37.76080361,33.82195164,34.50932303,47.65140621,45.23285863,44.32500521,32.53017139,44.55724167,46.2661853,50.25818428,50.54263033,51.36198689,50.90098722,50.2767685,48.29555254,34.85159234,38.69439898,44.21889772,44.71152686,52.0093477,51.1284851,49.74242595,43.06748871,37.46858018,38.02308604,44.34723869,47.33315887,48.79908638,44.72327469,41.18988159,34.03897074,28.30729503,36.95413958,40.04028846,43.53361782,43.26959735,43.7784157,42.56455662,42.32358229,34.46384776,33.40296303,37.50158153,39.21735377,42.07112787,42.95439032,43.18470752,41.12847433,40.42643171,39.06184139,37.24226588,35.52764304,38.62055138,44.41809608,40.86216923,36.71113516,37.42134472,40.54066203
26.84468164,25.02852786,26.8523882,29.11271292,34.29682263,31.59379099,23.28597904,26.45639197,27.12884057,29.68070753,29.7923701,32.13135773,31.1208323,30.58759064,29.11044586,26.03405234,25.25992414,29.8466346,30.65864113,30.63175293,28.24205058,25.75601534,23.97456659,25.30738372,23.61421269,27.066329,29.29080431,29.3785771,27.77210388,25.97843633,22.87857405,22.74360309,20.78737187,21.21657315,21.56625713,27.40549489,27.69962014,27.47342893,26.62272349,20.57902173,20.40546231,20.9447524,21.30333279,21.45828348,26.6052373,26.64505182,26.37645203,25.99870868,20.75602745,20.50889093,21.96512389,22.13264959,26.3639417,26.16974635,21.61592376,22.02099759,26.02231302
28.18038701,26.43753796,28.20055425,34.01712366,41.05900373,42.38132258,30.79497723,28.87378157,35.00193683,35.64926075,47.72057705,48.76221951,48.93964465,49.09558769,47.45651703,42.56332747,28.24796108,45.28018259,46.98255696,49.4656081,48.22597253,42.87943609,41.17889046,25.83843423,27.7206411,47.96756945,50.22957979,51.81621907,49.0357569,41.37874351,37.43059818,33.90045717,26.80230185,37.66029498,47.58522383,49.04122596,50.02809727,49.21075193,40.68584934,37.03770801,35.6461414,34.88900144,37.71501164,43.96989526,46.09822359,46.02093463,43.51618145,41.317648,36.84871605,35.37855568,37.73792613,42.67401667,41.14129852,40.4019108,37.3646222,38.01501801,38.60775394
29.82132071,32.50636296,30.86582023,41.4584673,42.07125021,43.63519128,41.38761996,36.05920644,40.65426702,42.75150324,44.61207009,48.26598261,51.48954043,52.09626273,43.9623597,41.98591351,36.160066,44.60875271,45.56562094,53.20107141,48.44472627,45.27414115,38.48633871,26.81819799,35.6465524,43.68210528,45.93501338,49.77988887,51.9310437,43.62326319,40.89548927,39.75349621,34.91030938,37.62156656,36.41517992,50.25614605,51.39793766,45.53568786,42.87452035,43.12519409,42.16289599,35.42852413,35.75166664,36.36949578,45.29133513,45.73406582,44.06756671,43.95284597,43.19575106,42.10171299,34.69260139,36.69534017,44.63351996,43.77713242,39.35246994,33.46843945,33.84611185
23.8799426,18.97191251,18.38763373,25.38452323,26.83207127,27.74056136,24.16473342,23.07472848,24.24763544,25.64143933,25.77010922,34.31968782,33.63136922,30.04764745,22.74259487,22.92973133,23.27083907,28.03968019,30.76410071,37.78041238,36.1490987,31.47838015,21.72899626,14.15120983,19.20105181,28.09103273,31.15826997,37.48937969,35.85999953,35.75935588,21.63079818,21.54304797,14.19804999,20.27433116,22.51276058,30.21241689,33.98783332,33.11139552,32.5900147,22.0074843,17.99534201,16.85885742,20.64428966,21.25410221,22.7806346,24.42652551,23.59861925,21.86770937,20.74246424,19.0132948,17.42376403,20.69818012,22.25704459,19.22215681,16.53457656,16.22416636,18.77697748
32.04842233,29.60764432,30.05219951,35.50056603,35.1454113,30.90425734,27.2335174,25.27923861,34.6322613,36.04138313,36.21725669,36.56927915,30.22818639,30.09798205,27.96149483,27.17992873,26.85828695,36.56718501,35.74911062,36.50910862,31.80453884,29.34741539,25.66113182,17.78007025,21.3291148,35.85847803,35.7231901,35.89790412,30.78660314,29.50152246,24.10898879,18.82996774,20.74310662,21.40584301,35.7438802,36.41679686,37.0174047,32.94412664,31.67904987,26.71568677,24.68482531,22.30424112,24.91115225,26.16969126,37.78288814,38.7247812,38.0846164,31.61300613,25.8843936,25.01055394,22.86746025,33.37646487,37.36578119,29.21374201,26.11745764,24.82122453,26.84237146
32.97141219,28.11468295,28.34910069,33.45527,37.47547288,36.28293711,26.02849227,28.96368559,36.24120989,37.19548121,38.7875381,38.6404847,37.45000811,36.70896257,31.55557998,28.70837101,37.80706729,39.33629553,39.39820802,39.2698122,38.64705043,38.34440677,32.54016611,35.05158439,37.10722783,39.57859989,40.24652657,40.54184877,39.95064965,38.02487373,26.90678292,23.04597861,34.16871415,37.02017167,40.17406475,40.27850455,41.14963678,39.65176593,35.39377035,31.87646957,31.65341263,36.17461336,38.8231788,39.21695458,39.86820097,41.43680241,38.5039273,35.74150849,34.2872019,33.57105382,38.57823096,39.13056153,41.3344481,41.22133536,32.72917259,38.79434352,36.00397028
34.23799483,34.38532617,34.27509069,46.71776826,46.06515049,44.57484178,43.90770461,40.41351221,42.27413725,50.84266234,50.65158012,50.97727588,50.77333706,50.04594698,47.72539661,42.17710325,50.35116828,50.86148624,54.07001216,56.81118001,55.92108676,53.88067226,34.97840882,31.6802522,49.33157128,52.02290066,54.26375189,57.68441199,56.61260406,49.99588236,33.25786577,31.3752283,36.77491903,43.41630401,45.86079413,51.32502772,55.82102659,53.60044241,48.25389132,44.00382514,42.74774027,42.35467084,46.26517631,48.19272877,50.10944859,53.68360935,54.5350703,54.17134769,45.45954818,42.34896035,46.57582894,50.29583226,53.95410991,55.27293194,48.12140958,53.42556344,53.86335646
24.69513162,24.94323328,24.35365065,25.93120058,26.22546735,26.74844718,24.20582534,24.23213478,24.53878012,26.37787952,26.82601739,27.02103334,27.27115344,27.18906758,24.13535642,23.7618825,24.01615996,26.41759223,27.33329498,27.71174905,28.18446479,27.66183463,23.6379455,24.09574458,24.03670614,26.20065826,28.68893736,29.62014455,29.00874483,27.40126615,24.0491118,23.24061718,24.39443424,25.31997074,26.49062769,27.05419533,27.41256994,27.93616435,27.09799597,25.92917787,23.68649888,25.10168019,25.52632009,26.22444396,26.75183087,27.06045035,27.22533103,26.67664422,26.18465762,26.07894845,25.86806118,26.10221322,26.37080137,26.41460874,26.0683674,25.93595988,26.19921136
53.30997336,46.91658355,50.51931794,55.9607258,55.29369624,49.59805588,45.19643179,45.00501916,53.11214032,53.27747245,54.03482341,50.24856251,49.44307891,47.78643568,45.74265276,42.98561439,34.77264496,49.41246521,49.58259026,50.54089015,50.27979895,45.1102571,40.62616858,33.98403524,34.07475008,45.32148529,50.46300911,50.62940875,44.9639142,43.96907231,33.28056834,32.23309389,27.72493173,38.94744476,43.32775712,50.08000736,49.68608553,46.75322451,38.23775688,33.94961449,32.6062171,41.64494485,43.18642847,43.49811025,47.74882689,48.45277922,45.33852599,39.53890082,33.78441544,33.23334755,34.57948739,46.98353396,48.08686878,43.23942736,32.35522528,39.34357908,33.59840288
