Fp2,Fp1,AF8,AF4,AFz,AF3,AF7,F8,F6,F4,F2,Fz,F1,F3,F5,F7,FC6,FC4,FC2,FCz,FC1,FC3,FC5,T8,C6,C4,C2,Cz,C1,C3,C5,T7,TP8,CP6,CP4,CP2,CPz,CP1,CP3,CP5,TP7,P8,P6,P4,P2,Pz,P1,P3,P5,P7,PO8,PO4,POz,PO3,PO7,O2,O1
2.301449832,2.674102595,2.359716273,2.087108912,2.355249218,2.471505202,2.559683844,2.118362155,1.936479101,1.985638556,2.040624006,2.326576696,2.589789302,2.593441128,2.520146647,2.383923991,1.666679291,2.645328253,2.512696093,2.514604059,2.554244088,2.503902864,2.497299233,1.7711557,1.799312343,1.522076731,0.624447418,0.309482331,1.01695373,0.734078517,1.149469203,1.136794536,1.673253835,1.663128675,1.018142986,1.03203017,0.449320355,0.742513071,0.633097527,0.601939135,0.731796576,-1.203537198,-0.068048516,0.59675102,0.772450107,0.127594403,0.327244147,0.579002806,0.768945553,0.635380046,3.078477045,-0.513690966,-0.196351729,0.133511136,0.151609025,-3.053257779,0.073327769
-0.232005833,-0.059124769,-0.073284138,-0.192334816,0.110443955,-0.32562004,-0.190308686,-0.559718307,-0.418222653,0.04275161,0.055419158,0.374294455,0.299627837,0.401316305,0.186141351,0.425373158,-0.566910793,0.350490627,1.323474583,1.129597722,1.148695886,0.614835532,-0.475394462,-0.542540121,-0.446309841,-1.250123159,1.444371372,1.540803979,0.829275781,0.431631427,-0.288875598,-0.301398877,-0.008261496,-0.120068229,-0.671692402,1.119586065,-0.295569317,0.073419323,-0.338539242,-0.123235127,-0.189094033,-0.449239515,-0.58215456,-0.487020787,-0.854267157,-0.806925295,-0.587125662,-0.676089099,-0.126627614,-0.100432466,-0.680693749,-0.604660117,-0.765251375,-0.848574326,-0.673471632,-0.781033414,-0.673748436
-1.073519464,-0.980746595,-1.018278828,-0.756857884,-1.20557548,-1.227114664,-1.001435607,-0.749259551,-0.870312205,-0.892524494,-1.286004236,-1.103006065,-0.688705627,-0.660336811,-1.307720189,-0.783225789,-1.190878918,-1.338372155,-1.273154433,-1.48583601,-1.365257032,-1.421550767,-1.445296778,-1.337865047,-1.37361744,-1.458403889,-1.391001889,-1.356514706,-1.234467504,-1.261343188,-1.073236979,-1.540074881,-1.447228465,-1.446378044,-1.40963252,-1.43321723,-1.429224973,-1.295505949,-1.116231294,-1.284961911,-1.239413922,-1.309861429,-1.299634037,-1.516772016,-1.509274304,-1.345507732,-1.227790342,-1.121343998,-1.313276727,-1.301236101,-1.535535323,-1.398926895,-1.613862367,-1.358636962,-1.495876202,-1.513778168,-1.37386359
-0.878544765,-2.365920927,0.035675166,0.35597305,-0.01694373,1.131519242,2.552380809,0.46941342,0.34940476,1.068248447,1.775146225,1.136854114,1.55913971,1.678833955,1.670303933,1.829091213,0.595650418,1.587979408,1.523581512,2.209943923,0.38754141,0.609617962,1.038971348,0.817744349,0.903947575,1.821384515,1.337786735,0.720629741,0.551043004,0.582680573,1.321502982,1.324210179,1.197048329,1.01859047,0.733562146,0.509029808,0.692488277,0.346192615,0.052841595,-0.1120619,0.051490341,1.178940837,1.093948447,0.886512965,0.355866326,0.280858124,-0.361331817,-0.320563967,-0.143266033,-0.094527793,1.142497585,0.963072046,0.333872167,-0.294836158,-0.188252094,0.740650651,-2.102312639
-1.210069405,-0.872658838,-0.640878801,-0.834201991,-0.746042519,-0.731295392,-0.74217733,-1.087484915,-1.01176477,-0.849724991,-0.848778655,-0.701397021,-0.696363152,-0.930019483,-0.906218978,-1.121108727,-1.054748838,-0.931971431,-0.838057258,-0.747329217,-0.707292596,-0.923400638,-1.23005123,-0.181045795,-0.743284695,-0.88209372,-0.835775733,-0.952258335,-0.92201583,-0.929526138,-1.092878037,-0.989627428,-0.642999611,-1.180801585,-1.111163047,-0.998505494,-0.992369189,-1.00880801,-0.991621895,-1.011560029,-1.159053997,-1.010378927,-1.194629042,-1.331093882,-1.197943037,-1.217015401,-1.056489952,-0.966315153,-1.043370306,-1.299109002,-1.012511394,-1.320152509,-1.252753139,-1.16038919,-1.012083103,-1.234760774,-1.207033209
-0.212202233,-0.346847651,-0.167105594,-0.376784556,-0.258168843,-0.22451695,-0.313761049,-0.299381067,-0.225458598,-0.115266675,-0.209624607,-0.011867539,-0.139897318,-0.09593005,-0.353657773,-0.322131136,-0.682858253,-0.331994854,-0.284044602,-0.081018714,-0.08874901,-0.268040299,-0.129212885,-0.846527937,-0.642097195,-0.345352294,-0.467037045,-0.368871641,-0.283472985,-0.200727565,-0.232639315,-0.280255715,-0.807837756,-0.664855912,-0.71473448,-0.532436751,-0.488117173,-0.436111512,-0.560107329,-0.669346523,-0.58609181,-0.723341766,-0.682805519,-0.782353513,-0.745930387,-0.819620318,-0.700647351,-0.501107974,-0.674067803,-0.664842254,-0.852329446,-0.972572782,-1.061372859,-0.842787564,-0.631257754,-0.930234536,-0.781477402
-0.152402242,-0.579921086,-0.35156231,-0.171542525,-0.179581441,-0.303834977,-0.330878614,0.00369251,0.236549073,0.332418213,0.206173197,0.115472636,-0.149423665,-0.316737194,-0.219089483,-0.354642656,-0.273421931,-0.206105902,-0.137746569,-0.248407636,-0.263728101,-0.023893638,-0.426650429,-0.324734119,-0.27625137,-0.373335873,-0.548244244,-0.344531491,-0.210303577,-0.119165544,-0.176426906,-0.254918397,-0.176214759,-0.284337586,-0.620520559,-0.59336608,-0.204075218,-0.166621259,-0.679769866,-0.418978519,-0.448544601,-0.225810626,-0.425696222,-0.336317707,-0.417052454,-0.511424158,-0.219463601,-0.482774818,-0.473082397,-0.407715037,-0.482930019,-0.485050138,-0.629328472,-0.615683375,-0.82542908,-0.507399491,-0.928788153
-1.151909032,-0.574611417,-0.42197203,0.826288096,0.819037615,0.292267989,1.453086282,1.096720891,1.759966393,1.311750125,1.440244683,1.52387998,2.114158639,2.145514072,1.799089399,1.689537032,1.783492477,1.989823885,2.520057478,2.455239656,2.716443043,1.974273819,1.365188547,2.085028719,1.843413408,2.1575833,2.187426093,1.600823636,1.693251131,1.06266326,1.03839296,1.183742636,-0.85395281,-1.378686972,-1.113061839,-0.744608331,0.758037331,1.485480622,1.566619609,0.941336875,1.202251687,-0.767805394,-0.378000753,-0.386844335,-0.980425915,-1.115957218,0.255584049,0.509073839,-0.071233814,-0.222679298,-1.027534748,-0.790027505,-0.486339329,0.14762187,-0.091577358,-0.77136307,0.173976365
-1.13492855,-1.0033614,-1.155927733,-0.949522011,-0.994606049,-0.879357664,-0.244602981,-0.969641403,-0.898407073,-0.932453188,-0.9839951,-0.912302449,-0.765608654,-0.869367254,-0.623566179,-0.545483317,-0.980584009,-0.916701156,-0.827388713,-0.867833367,-0.612810042,-0.441644115,-0.188397339,-0.777346351,-0.820132167,-0.952485207,-0.583077854,-0.794618728,-0.622307215,-0.509486483,-0.533472433,-0.457170274,-0.764068398,-0.775323766,-0.677538662,-0.68235846,-0.620158239,-0.76647232,-0.477367492,-0.548793961,-0.484095828,-0.793818452,-0.790456012,-0.693534704,-0.656783582,-0.694185273,-0.637380373,-0.611505441,-0.679276399,-0.57558771,-0.76293932,-0.668919187,-0.711052749,-0.688784336,-0.749471986,-0.737106979,-0.720789736
-3.028027469,2.332259949,-3.08581439,2.990251576,2.895118413,2.620617257,2.362781881,3.053771288,2.993744317,3.056726738,3.005506554,2.669010916,2.977138832,2.87375004,2.603630539,2.573329395,2.780243399,2.809213898,3.008830879,2.82199805,2.729934362,2.565652937,2.549438604,2.852614356,2.610592248,2.900996273,-2.787863513,-2.558975757,-2.543829183,-2.755691399,-3.089593978,-2.313393905,-1.647207452,-1.551691595,-1.590733116,-1.710740026,-1.754859626,-2.27042409,-2.353131532,-1.895669807,-1.554264396,-1.763355655,-1.797625889,-1.856697109,-1.934498778,-1.801632912,-2.003897982,-2.420450486,-1.905132497,-2.026572459,-1.390588321,-1.925701429,-1.917320537,-2.193790222,-2.276937204,-1.657393584,-1.710366622
-1.125379354,-1.070926367,-0.905603234,-1.361849601,-1.179981748,-1.045629846,-1.273388429,-1.421152032,-1.671336124,-1.307713096,-1.093328144,-1.297911939,-1.08375534,-1.155002724,-1.132870126,-1.252625386,-1.211426467,-1.578808686,-1.327203847,-1.484421209,-1.351794904,-1.181745845,-1.152007464,-0.109996262,-1.052930472,-1.581078344,-1.536043505,-1.568565927,-1.187287644,-1.331018783,-1.226833773,1.354340503,-0.60928181,-0.618673502,-1.402395174,-1.558324885,-1.436545235,-0.968518341,-1.436531719,-1.361251607,-1.465346049,-0.722686947,-0.817445672,-0.768552676,-0.639251162,-1.007686235,-1.017354971,-1.345139247,-1.302542116,-1.490219625,-1.031977877,-1.10453393,-0.727833446,-0.794594559,-1.332371112,-1.098891964,-0.853351043
-0.804952817,-0.448947581,-0.699587442,-0.640749436,-0.699296373,-0.543459567,-0.951222394,-0.613996725,-0.626959828,-0.787687214,-0.808448119,-1.005905472,-0.898968277,-0.727728024,-0.733876588,-0.922478051,-0.607164332,-0.794199886,-0.799143293,-0.999303191,-0.962213186,-0.865945899,-0.987979253,-0.743934429,-0.792560551,-0.868889863,-0.878755201,-1.130058213,-1.088980965,-1.108163416,-0.992983304,-0.958154398,-0.72696157,-0.894690935,-1.071296249,-0.901439291,-0.915784623,-0.982422969,-0.915350299,-1.072790878,-1.00175313,-0.839251946,-0.922387458,-0.920844628,-0.863992079,-1.004906218,-1.079456317,-1.10578111,-1.075076426,-1.045083457,-0.94150845,-0.963574967,-0.961803593,-0.97145485,-1.033812149,-0.951011235,-1.105854185
0.330551418,0.177811068,0.577752001,0.484686805,-0.120982937,-0.348535012,0.006065875,-0.281711792,0.265274542,0.239361833,-0.041166672,0.359409974,0.101909789,-0.0727528,-0.5223868,-0.282138894,-0.163631283,-0.302211658,-0.269167037,0.07022842,0.183998975,-0.046310861,-0.72263896,-1.365084094,-0.939774279,-0.412837151,-0.251917283,-0.42546281,-0.360350061,-0.606653133,-0.865179926,-0.067729934,-2.104202753,-0.807519394,-0.358077701,-0.591304479,-0.322335329,-0.68685175,-0.72361678,-0.135267659,-0.159037699,-1.67413845,-0.447090546,-0.690169412,-0.423257293,-0.341612352,-0.605448261,-0.623554721,-0.788020307,-0.043277987,-0.368360478,-0.429449757,-0.741156598,-0.763713669,-0.749897762,-0.133877176,-0.81299167
