Fp2,Fp1,AF8,AF4,AFz,AF3,AF7,F8,F6,F4,F2,Fz,F1,F3,F5,F7,FC6,FC4,FC2,FCz,FC1,FC3,FC5,T8,C6,C4,C2,Cz,C1,C3,C5,T7,TP8,CP6,CP4,CP2,CPz,CP1,CP3,CP5,TP7,P8,P6,P4,P2,Pz,P1,P3,P5,P7,PO8,PO4,POz,PO3,PO7,O2,O1
43.55724438,32.4625455,35.77741915,73.86702566,68.13581932,64.58375445,30.03408237,64.06067713,69.55122816,85.41298369,87.29480382,95.41405802,92.64220169,90.21190472,81.29398997,37.65177358,57.00451276,76.76600223,78.47967199,102.3419172,98.64427965,92.77889708,67.97825739,53.81263731,55.21376816,77.37242813,92.19163781,96.91544192,81.84535853,69.74511569,46.47747689,32.22904623,56.1957302,65.79210449,80.98661764,80.11166089,83.05099345,77.83839588,76.88114548,51.11418169,47.78670776,60.47129442,66.56065607,76.55401281,79.14151638,81.56836016,73.74099199,71.31357215,66.48548525,60.63793086,56.47948078,65.54890207,87.59455927,73.04957309,60.56342805,62.12110709,72.40664839
27.9276542,23.98955261,28.27828644,35.57502411,48.50059008,40.56595753,21.30203657,29.60274503,31.3449256,37.54904633,37.68810493,45.51598488,42.94690455,41.41173317,37.50605754,29.62962098,27.12549805,39.65094497,42.02702776,42.03294082,36.48119642,29.89306952,26.10331672,27.18640271,23.45326826,32.62358695,38.82401421,39.23159944,35.44152069,30.44281217,23.98393544,23.72728712,19.54394482,20.63431585,21.33510612,34.90700294,35.93280121,35.44382407,33.22436962,19.70443576,19.38572202,20.23889206,20.85380302,21.11489665,34.07582328,34.15624816,33.14618386,32.17042081,20.01551006,19.7504419,22.85017225,22.99022086,33.80877734,33.19813539,22.73313636,23.38039994,33.29134172
22.6405803,17.86577864,22.67911606,35.5626983,50.136733,55.2635302,25.93187931,24.71085593,37.97967504,39.9105441,78.29591354,78.23686648,79.61850123,79.60819699,73.29724665,60.20783324,25.13978313,72.87426707,80.59155857,92.99731792,87.17829901,68.82451423,63.36511399,25.33352044,29.45448705,94.71188664,104.1124894,108.3535496,94.29213389,66.23766889,53.69527531,43.33324715,28.75900896,59.04417963,95.60035446,101.2207899,105.063087,99.12685009,65.90415051,53.40784367,50.0311654,51.88822609,61.14441946,83.23890674,91.70982564,90.36743299,78.36217407,70.16224539,54.97318793,50.56198356,60.02830187,78.64858122,72.38883253,68.09030363,57.50516484,61.57898161,62.77336263
18.60111116,24.7848305,20.63373436,42.977203,44.18411335,47.84563339,42.89309113,32.47191127,42.12944584,47.6132669,53.37192124,67.7429346,74.64667687,76.7354373,48.43068088,44.14909108,40.25522713,57.87020085,63.29578036,90.4974083,77.05113921,64.94053925,41.637051,22.94228913,39.55155546,57.76934324,69.79652371,90.32957629,98.69343454,66.03189566,50.796302,48.16911096,46.74521367,51.01103013,50.66233609,97.06897224,101.5327255,77.83825968,67.51877973,68.91596618,65.48099436,48.24795193,49.07451989,50.97505061,80.93607522,82.83141556,75.46179116,73.58788179,70.13351605,66.30881797,46.3582843,52.10445811,79.14785267,75.00850214,58.42042626,43.53496573,44.63233788
45.36940107,10.04624487,8.96222537,17.42829694,18.88210645,20.23605829,17.44379171,14.4915626,16.13800131,18.01025058,18.10817512,33.33028186,32.21698865,26.60855017,14.90794195,16.08099723,14.90566883,23.60665146,29.07167928,43.83673281,41.35997388,30.46705628,15.0570243,6.217376574,11.89039639,24.13929635,30.38912667,46.94589608,42.9258886,42.68228485,15.55999013,15.42958099,6.20279047,13.68838581,16.9626379,30.74975115,39.36153987,36.95920562,35.8378731,16.17131902,10.57617773,10.2651543,14.34298405,15.21538608,17.71296166,20.14565185,18.80622042,16.13535965,14.56858768,12.16131731,10.07690193,14.32002485,16.54807373,12.16294334,8.89565051,8.334863613,11.64430824
25.8477387,22.77277947,22.76641417,32.6783049,32.71183792,27.89519021,20.84829568,16.25517136,33.43949113,37.807048,39.06565079,41.17029983,28.15262082,27.64597836,22.86931989,21.03457703,20.64008297,44.71117239,43.14685992,45.99095121,33.59320843,27.21504011,20.71994559,9.979811437,15.3227634,44.40266511,46.39242228,47.99793025,33.32454492,28.17888528,19.35183483,11.20902506,15.05037346,16.01287341,47.88176846,50.66294875,52.63242733,42.29100204,39.8845635,26.96341713,23.05208582,18.16692442,23.36149237,26.14939194,58.06027176,61.34857569,59.43591271,39.7993268,25.63227294,23.69555861,19.61705775,45.30272389,57.68450319,33.93220897,26.46931232,24.64797952,28.19237265
23.64014825,14.61041049,17.70275522,24.42592344,32.00418037,30.16983878,13.10036626,21.36225304,40.37151521,42.8856329,47.43794095,46.17265553,37.23247987,34.67837319,24.02247187,19.22621967,53.60128263,56.32685477,56.65551645,56.33355738,50.32380351,48.10120799,32.14400136,46.89310249,53.29399438,62.54903044,65.87241969,65.68360488,63.85028625,56.21961728,28.08694806,20.78465691,46.96069475,55.71654151,66.88918094,67.27569915,73.40253095,67.05213927,58.15926316,47.00494613,46.18017734,57.57432683,66.27271612,67.67834814,70.24873897,79.75944624,69.87654832,60.05018739,55.02320269,52.78378448,66.16300265,68.03167788,82.93964294,82.7032192,52.66663099,67.0022278,65.27905444
38.7391368,38.90495976,39.62509552,77.04568047,74.21918484,69.15981756,68.62886892,57.92410816,63.7218455,94.34028232,94.18747035,94.83034808,93.67624782,90.84546391,82.52647135,63.19708621,98.4550615,100.5710058,114.3013709,124.6707443,122.1213297,112.9580483,44.09059472,36.821234,94.63408598,108.6283616,119.1666186,134.4772802,130.8248248,103.4586307,42.32635223,36.7394657,53.95403887,77.23017166,87.09212661,111.2137036,134.0811364,123.9361478,99.41541767,80.64762499,76.07735099,75.50588031,91.09591909,100.3942505,109.7666133,126.1433982,131.5541908,129.8060155,90.27403802,76.58276378,92.73390912,110.7240337,129.6869928,136.335932,101.9343323,125.5697213,129.1488976
17.75983791,17.86991989,17.56888438,20.37150481,20.8106823,21.37112793,17.09817229,17.5646151,18.21854087,21.50095962,22.26822212,22.45087245,22.55721353,22.28087932,17.45861921,16.55687471,17.77167166,21.80837199,23.56325461,24.40170998,25.99942077,24.95004794,17.00812679,18.56815506,18.22148764,21.79587682,27.16909048,29.45791253,28.09062772,24.82169052,18.08115898,17.06790745,19.17224489,20.84075931,23.04023205,24.2553239,25.02854865,26.07015089,24.25607016,22.10827516,17.82336055,20.51477351,21.34736956,22.64725001,23.63550655,24.2469611,24.65714474,23.65381813,22.73480562,22.5260981,21.9661661,22.32090181,22.92686724,22.99438731,22.50646004,22.12492183,22.59488758
112.4957307,88.03103866,101.1279736,120.0165172,117.1102265,96.34729017,81.51313418,79.29890968,105.121604,105.4870431,104.5123863,86.87304242,86.14479245,87.77965354,82.67670688,73.36872947,44.82297958,79.35782996,79.95450248,80.16958663,79.74027234,66.3545776,63.3994045,43.04093575,42.9074629,62.18405076,70.61354763,73.20134495,54.19643276,56.27620819,37.52899598,34.58117355,23.84366113,43.7205812,48.67648819,62.033288,60.12637797,54.71313237,40.11330235,33.12242205,30.56816777,44.84368458,48.38544423,48.7263986,54.83148352,56.4879989,51.03081568,41.83586374,32.35756221,31.67097748,32.58146189,54.088132,55.6692417,46.42914472,29.68556492,38.88635935,30.7455062
