Fp2,Fp1,AF8,AF4,AFz,AF3,AF7,F8,F6,F4,F2,Fz,F1,F3,F5,F7,FC6,FC4,FC2,FCz,FC1,FC3,FC5,T8,C6,C4,C2,Cz,C1,C3,C5,T7,TP8,CP6,CP4,CP2,CPz,CP1,CP3,CP5,TP7,P8,P6,P4,P2,Pz,P1,P3,P5,P7,PO8,PO4,POz,PO3,PO7,O2,O1
46.30559947,45.11298808,42.77479578,51.38534612,51.0076617,51.35486629,44.74825098,47.73148568,48.73438633,51.2179769,51.29305729,52.14538769,52.63384841,52.36508415,51.6990747,44.2848534,36.66786448,40.1637739,40.85938006,50.73064516,50.44269475,50.11221552,44.78859762,35.27865967,35.91170138,40.20818855,41.08108333,42.33431718,39.11721164,36.19141668,31.74240268,26.841026,33.47782053,35.60380426,36.80447483,36.60160723,36.67903496,35.98605838,35.86660751,29.72826264,28.7190685,31.82309033,33.21940808,35.2743608,35.94678984,36.41368736,34.65158859,33.87126319,32.83426203,31.48324763,29.91965253,31.8884121,36.6605602,34.2060005,30.46649297,30.86042391,33.28298099
28.69974052,26.16349383,27.49377167,27.5460474,34.0052535,29.62614095,22.37119065,24.41058176,25.24040492,27.60720806,27.61295054,27.45194502,26.5632161,26.07432123,24.89587309,22.5101343,22.9248724,25.17869826,25.50049718,25.45942646,23.19251357,21.09587477,20.07276992,22.7171183,21.11260268,23.30274359,24.3652576,23.95936338,22.70461106,21.34365003,18.99771547,18.96781251,18.59627778,18.79648814,18.92157551,22.36339336,21.89123326,21.90039118,21.23826427,16.94161942,16.85779239,18.72195241,18.83872373,19.03978517,21.06486758,20.88287837,20.59483994,20.41902993,17.27530665,16.95600832,18.84865016,18.94772555,21.07136472,20.98923763,17.47213794,19.13843069,21.77068049
35.72667836,36.0190777,35.56186073,41.0674756,49.57108159,51.17610126,40.07386691,34.46112008,41.48715638,42.16089387,52.98423859,54.75364621,55.32669937,55.77136754,54.35951429,47.89387239,33.73372581,49.30952679,50.37734272,52.32865134,50.58567953,44.56937543,42.99632049,27.1737083,29.31310992,47.59612883,49.81878813,52.13314882,49.763178,42.13973058,37.76147738,34.88624855,26.51442767,37.42775133,45.70457672,46.84317922,47.89429656,47.11309308,39.61146018,36.5244074,34.96084896,33.56525825,36.48034902,42.40691565,44.23564252,43.7022234,41.34248507,39.40902543,34.9426551,33.81912705,36.34252231,41.10011557,39.03954692,37.75497565,34.66445202,37.16556015,35.98323321
40.74483143,44.40960629,40.3407133,51.84221601,52.87714531,51.95808434,49.72859047,45.41666789,51.3305055,54.1783254,56.02845493,56.3054448,56.45222115,58.21754427,51.3388525,50.10432408,43.46724151,54.27398315,54.73865713,58.7964933,51.70502207,48.31083431,45.8231959,34.43101924,43.14579389,52.08923528,52.75374455,50.47106937,54.5105243,46.87355409,47.9989862,46.51839394,39.90183739,42.57130757,40.59211311,48.86909488,50.04330907,48.05042947,49.04323498,50.14891293,48.92799568,39.96277758,39.94404532,40.98549421,47.31267436,47.28116722,49.95143776,50.45050066,49.80346906,48.82641871,39.39121374,40.94496523,47.28724891,50.58974832,48.74271362,38.94324319,41.89228137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.81297412,33.79488371,32.32597002,38.51132516,38.56147384,34.1655643,31.32949477,27.37792509,36.78245236,37.62946174,37.50413636,37.95230844,32.80404977,32.63796616,32.03681478,31.43949667,29.49111522,36.13414438,34.4983982,35.41936328,32.53882399,31.51369106,28.55013215,21.32719296,24.60399226,34.92104557,33.84004108,33.00525138,30.78076256,31.17139451,26.96017289,23.79897708,23.99601027,24.83375995,34.34817428,33.92319456,34.14731782,31.21099209,32.50218308,30.09375415,28.81986339,25.07692589,27.20343479,27.97423628,36.3963917,37.28148372,37.32728898,33.02463719,29.90363107,29.20493223,26.2323511,37.61979359,39.07727005,34.38514759,32.32122349,31.37697571,32.85997881
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.40974708,39.40111431,39.46086257,50.87646644,50.56414182,48.9771795,47.32568069,43.9048154,45.9601518,54.59693373,54.67046954,53.81959092,54.18247823,53.38882474,51.1381319,45.44370914,53.0677766,53.54177708,56.63704933,59.14229681,57.23666465,54.61250485,36.80069457,34.32109186,51.6727715,53.50403165,55.02234377,58.39003795,55.86882982,48.61724576,34.42226281,32.99456845,38.35444023,43.41823079,45.4666409,50.24403401,53.46916105,51.2308285,46.4183777,42.65378264,42.15082712,41.56646198,45.11393192,46.67163243,48.05660867,50.82165786,51.27937132,50.46151441,43.31081751,40.5501802,46.31359245,47.58082975,50.73569302,51.65297241,46.84061712,50.59382033,51.53257785
32.6422099,33.11358288,32.33033297,33.73994856,34.12322873,35.22008674,32.21473729,31.92920054,32.31230695,33.8135214,34.39839033,34.88339951,35.39889022,35.44530181,32.1086481,31.78702785,31.30716097,33.83805765,34.86701363,35.18991735,35.52446346,34.99288335,31.59151121,31.06798959,31.15933538,33.45180691,35.65126168,36.37392905,35.54268367,34.31267119,31.48494707,30.58677141,31.63850675,32.34560905,33.57299148,34.0823199,34.47609209,34.68453484,34.00115437,32.97355673,30.86862295,32.29851304,32.59528254,33.38394721,33.84500424,33.94977298,34.00666932,33.51351327,33.00619167,32.92346645,32.96372835,33.09977614,33.16793849,33.4692724,32.99251062,33.11597432,33.15375762
47.13744657,41.70469447,44.20774748,48.89675059,49.2105328,43.49077441,40.01724051,40.19822839,47.07339274,47.00642978,47.11350723,44.14279185,43.71161085,41.94961878,40.08825563,38.08580379,32.99154041,43.46128257,43.58732166,43.8865106,43.80273855,40.08643876,36.04000768,32.25760622,32.34015976,40.29768136,42.8478492,42.73493657,37.36629913,38.53782928,30.96122207,29.71293617,27.90279367,36.93050764,38.10218181,41.10254758,39.66361259,38.66839988,33.04057234,31.10842874,30.13327345,36.89457485,37.9492769,38.24411958,38.84721091,38.79514243,36.90624347,33.19262339,31.32060998,30.97662936,34.37896994,38.77259535,38.44622874,35.9159628,30.58149193,35.85267577,30.99201325
51.3243826,56.80487591,48.81592945,60.79253197,62.58851377,59.80729042,51.12283133,39.65998875,52.61737149,59.95678089,59.58795026,59.73098712,57.64469268,57.77941886,54.65773999,48.65539354,43.59664911,49.19334767,52.94665394,50.58961038,51.49986262,52.99486635,48.97646258,27.25095815,35.93600396,48.49770368,45.46937404,46.35677853,46.13137561,41.39623587,31.67503202,26.44119706,29.15509913,29.32490874,40.23898104,39.82283531,39.73150193,35.91571483,32.57422938,26.97606985,26.42287971,32.11264748,34.43217794,35.02051022,35.70859486,34.18290422,31.75869441,31.35499411,28.50941452,26.86414382,34.06325859,35.8983415,32.43594866,31.12580262,27.79887987,34.27026611,30.52993027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.28508389,43.78844249,31.85444647,44.25700923,45.57906877,46.36151249,42.69100835,25.56512943,39.07502224,39.4528548,41.73961618,42.62522401,39.90569585,43.15691885,44.50110698,36.44589854,29.43586441,36.89081227,36.78437077,38.65196498,38.60363915,38.37401164,34.3275378,21.10017607,26.5476303,32.47249238,29.56698944,34.78100682,37.2424443,35.51828807,29.55904176,26.49948504,21.03634322,26.4174313,29.02643827,28.85515472,32.3867064,33.77419527,32.79985103,27.57478614,27.659336,21.13834257,28.17477817,28.65272443,28.80379238,30.82268052,30.26066375,30.11300079,29.22671949,27.62505312,26.26859074,27.47899253,28.68965223,28.22729018,29.12460946,25.67555569,24.36802575
