Fp2,Fp1,AF8,AF4,AFz,AF3,AF7,F8,F6,F4,F2,Fz,F1,F3,F5,F7,FC6,FC4,FC2,FCz,FC1,FC3,FC5,T8,C6,C4,C2,Cz,C1,C3,C5,T7,TP8,CP6,CP4,CP2,CPz,CP1,CP3,CP5,TP7,P8,P6,P4,P2,Pz,P1,P3,P5,P7,PO8,PO4,POz,PO3,PO7,O2,O1
28.3062645,30.20304569,29.6728972,31.50684932,32.79069767,34.52914798,31.60493827,33.03370787,33.5600907,36.61327231,36.07305936,34.05639913,34.26724138,34.04710921,35.80786026,33.85300668,29.3064877,33.18777293,33.68869936,32.77310924,33.04904051,34.46808511,32.95964126,29.8206278,29.43820225,32.39130435,30.24691358,29.87804878,30.47034765,30.16528926,30.14256619,27.88844622,29.14893617,29.76445396,30.18480493,29.36344969,29.75708502,29.29292929,30.56680162,28.88015717,29.64426877,28.62985685,28.74743326,29.87551867,29.72972973,30.22312373,28.88888889,28.48605578,29.8989899,29.02584493,25.09960159,30.16194332,30.06134969,29.63709677,27.78864971,28.85771543,28.92057026
29.93630573,30.70175439,31.08384458,34.84848485,32.2160149,31.91489362,31.01265823,33.52941176,33.90804598,33.39483395,33.64312268,32.8358209,31.83520599,32.25806452,32.6171875,32.38289206,32.93413174,29.8245614,30.93812375,31.53692615,31.81818182,31.27572016,29.11392405,32.38866397,33.47193347,30.89770355,32.35294118,30.78556263,32.56784969,29.95867769,29.16666667,29.75929978,30.14018692,30.42328042,30.58510638,31.65938865,31.53153153,31.6027088,30.06833713,26.39593909,27.34177215,30.13333333,30.45822102,30.4,33.41121495,31.8501171,31.20567376,30.26004728,26.31578947,26.83544304,30.64516129,32.01058201,31.11638955,29.22705314,25.06596306,30.10471204,32.13367609
20.30075188,18.82716049,20.89552239,25,22.27074236,21.86147186,22.99168975,25.53699284,26.00422833,25.31120332,24.95201536,25.74850299,26.73076923,28.10077519,26.7961165,21.66666667,24.63768116,26.55367232,26.40449438,29.56989247,30.71297989,30.53016453,30.86876155,25.4587156,27.42980562,28.84615385,30.75601375,32.12435233,31.21693122,31.66368515,30.18518519,30.47619048,26.30434783,30.10948905,31.2390925,29.91304348,30.60869565,32.4742268,29.8401421,29.53271028,28.57142857,27.1484375,28.65275142,29.3594306,30.12259194,30.79584775,30.7826087,30.1056338,30.23679417,29.17431193,28.85771543,29.21960073,29.06137184,28.14685315,27.33944954,28.59960552,27.74774775
31.75675676,30.20134228,29.10447761,31.12244898,30.85106383,28.14070352,29.64824121,30.81081081,30.41237113,28.29268293,27.77777778,26.57657658,26.41509434,24.52830189,34.01015228,33.33333333,22.31759657,22.55319149,23.07692308,24.68619247,22.63374486,24.16666667,24.22907489,26.34146341,21.36752137,21.42857143,23.62869198,23.10606061,23.28244275,25.6916996,22.22222222,21.12068966,22.18045113,22.22222222,22.18181818,21.37681159,20.4379562,25.55555556,25.93984962,25.19379845,25.96899225,21.80451128,22.55639098,22.34432234,22.61484099,21.63120567,24.06015038,23.86363636,24.90421456,25.38461538,21.92307692,21.97802198,22.38267148,23.79182156,21.99170124,21.54471545,23.82978723
22.77580071,26.82926829,23.23232323,29.47658402,33.51800554,31.86813187,30.62827225,29.44785276,28.125,30.16304348,30.37634409,32.84210526,33.33333333,34.47537473,29.8816568,33.16582915,29.72972973,31.4159292,32.55360624,33.7883959,34.17935702,33.20683112,31.5245478,20.34632035,24.28115016,30.78556263,32.96500921,33.59746434,36.36363636,36.5448505,29.20560748,30.6345733,17.28395062,25.07042254,28.84160757,34.86725664,35.50488599,38.16013629,38.35616438,31.4479638,23.92473118,19.10828025,27.44565217,29.77099237,32.86052009,32.83898305,32.5,32.2147651,27.73722628,25.6,23.19749216,30.05464481,30.3030303,27.77777778,25.78397213,23.36769759,27.8125
25.50091075,23.55212355,26.06284658,25.88235294,26.52388797,26.8174475,23.37434095,25.20661157,27.96875,30.0295858,30.11695906,28.34302326,26.81818182,26.22432859,24.7440273,23.51916376,24.82394366,28.63070539,28.2369146,30,27.74647887,27.60180995,26.93548387,22.71805274,22.30347349,29.57937585,28.44155844,30.8974359,27.50333778,28.59259259,26.63398693,22.91666667,22.24199288,22.5631769,26.86762779,28.06573957,31.35068154,30.78817734,28.07017544,27.23004695,27.64227642,22.3316913,24.80974125,25.14619883,30.15873016,30,30.64903846,27.89115646,27.76025237,27.66990291,24.02597403,28.5326087,29.66887417,26.04790419,25.90759076,25,25.03987241
27.09677419,21.73144876,25.6,26.8370607,26.03550296,25.25697504,22.52252252,25.87519026,25.13661202,24.89683631,24.01091405,23.97820163,23.82978723,23.33804809,22.56186317,22.76176024,24.32432432,24.09638554,23.86666667,23.37317397,22.37196765,23.22147651,24.12831241,24.72972973,25.92087312,25.60321716,25.06666667,25.9012016,24.57067371,25.29801325,24.74964235,27.04309064,25.78444748,25.33875339,26.03471295,25.56591212,25.72559367,25.32637076,26.32258065,26.77165354,26.44736842,25.49537649,25.78534031,26.00780234,26.84824903,26.50448143,25.51282051,26.52005175,25.77720207,26.33637549,25.78125,26.00258732,25.73248408,25.44529262,27.10280374,26.171875,26.52519894
31.88010899,33.69863014,31.89189189,31.56626506,33.09352518,32.54716981,30.64133017,30.86734694,31.40703518,31.87066975,31.89066059,30.96330275,31.51927438,32.18390805,32.01856148,31.11638955,30.13392857,30.20134228,29.97762864,30.66954644,30.19693654,31.4159292,31.77083333,30.94629156,31.6027088,28.15315315,28.88888889,31.27753304,28.69565217,29.15766739,27.176781,28.65013774,30.14018692,29.34537246,30.82191781,29.6875,27.09251101,28.41409692,28.22222222,29.27400468,28.33723653,29.48113208,29.33025404,29.9086758,27.35426009,27.06935123,28.88888889,28.15315315,28.70159453,29.53488372,28.63961814,28.13238771,26.99530516,28.18181818,29.39814815,27.1393643,26.82352941
25.47864507,24,25.2173913,25.53495007,24.39372325,24.46657183,25.74568289,25.35816619,25.10638298,25.77464789,25.84269663,25.94142259,24.61538462,24.33192686,26.17246596,25.78616352,25.81560284,24.89451477,24.65373961,24.96551724,26.20320856,26.68463612,24.59970888,26.30136986,25.90027701,25.03401361,24.67532468,25.22179975,27.87096774,26.07526882,26.43356643,26.86357243,25.81081081,25.86666667,25.5599473,24.96749025,26.15979381,27.4611399,26.435247,26.35135135,26.19047619,25.26595745,25.66137566,25.95019659,25.94033722,26.13195343,26.42007926,27.01986755,26.97986577,27.13903743,25.95019659,25.82345191,26.44736842,26.48221344,26.83578104,25.82345191,26.84210526
32.6585695,34.2291372,29.77839335,31.99426112,33.47639485,33.640553,35.40740741,28.95927602,29.48717949,29.00641026,32.04047218,27.57352941,28.15198618,32.38095238,33.48837209,34.09436834,27.86324786,28.76984127,28.59922179,27.94117647,27.19836401,27.23735409,32.10272873,28.05507745,28.64583333,26.01279318,27.56264237,26.94063927,27.45098039,28.23779193,29.38856016,28.28685259,22.27979275,27.79156328,28.35820896,27.02702703,26.5,28.87828162,29.59183673,30.28720627,29.63917526,27.00534759,26.64907652,28,25.84856397,25.12690355,29.01554404,28.82653061,29.75206612,29.64959569,26.73611111,26.34408602,25.06329114,28.64583333,28.9017341,27.77777778,27.19298246
18.85521886,21.82890855,18.49315068,23.95833333,25.84541063,25.54744526,20.55214724,17.42424242,23.60742706,27.86516854,26.86230248,27.06935123,23.46241458,25.17814727,23.35025381,20.77562327,25.89073634,27.70562771,28.14498934,27.78993435,27.15231788,25.95936795,25.29550827,16.4874552,25.68578554,28.2937365,26.78185745,27.5862069,27.21238938,25.5033557,20.20997375,14.01515152,22.75862069,22.49134948,26.03036876,25.60706402,25.97402597,26.81818182,25,22.28412256,21.24645892,21.76870748,22.71293375,21.48760331,22.10526316,24.74747475,22.96296296,24.01960784,23.94736842,22.34636872,24.05063291,26.97947214,24.6031746,22.86432161,23.86058981,24.20382166,25.88555858
26.54462243,21.0653753,27.48917749,29.77412731,28.93081761,29.59830867,25.40415704,28.10457516,28.54122622,28.74493927,29.50819672,29.91803279,30.29045643,30.06396588,28.47826087,26.54867257,27.15789474,29.26829268,29.85971944,31.41683778,30.24691358,29.375,30.40816327,27.46781116,28.24742268,28.62985685,29.7188755,29.67479675,29.71311475,30,31.08384458,28.60082305,28.32618026,28.21576763,29.00608519,29.09090909,30.1010101,30.44354839,30.3030303,31.2,27.74327122,28.04123711,28.71900826,28.25203252,29.26829268,29.87804878,30.84677419,29.82107356,30.58350101,27.45901639,28.45528455,29.12423625,29.09090909,29.61460446,30.34623218,29.26829268,30.06134969
37.83333333,33.50604491,37.14285714,36.98224852,35.76751118,36.76248109,37.5,33.26848249,38.88070692,38.23529412,36.05150215,36.4028777,37.20588235,35.3640416,37.96875,36.39705882,34.29487179,32.67326733,33.4751773,34.70254958,36.07038123,36.43067847,35.07340946,29.87477639,34.82972136,33.43239227,35.32041729,35.03649635,34.83309144,35.74660633,34.78991597,35.27131783,30.65953654,34.77588872,35.44494721,34.74320242,37.40902475,35.05154639,34.3605547,33.21428571,32.97491039,30.26548673,35.13097072,34.39878234,34.95440729,37.03148426,36.95652174,36.36363636,37.2659176,33.45259392,31.34851138,33.81410256,34.41033926,36.30672926,38.05970149,32.1799308,31.97278912
