Fp2,Fp1,AF8,AF4,AFz,AF3,AF7,F8,F6,F4,F2,Fz,F1,F3,F5,F7,FC6,FC4,FC2,FCz,FC1,FC3,FC5,T8,C6,C4,C2,Cz,C1,C3,C5,T7,TP8,CP6,CP4,CP2,CPz,CP1,CP3,CP5,TP7,P8,P6,P4,P2,Pz,P1,P3,P5,P7,PO8,PO4,POz,PO3,PO7,O2,O1
2.508471015,2.770815801,2.564949338,2.310970177,2.613335366,2.407998385,2.770267691,2.430910627,2.524798943,2.286211893,2.40899455,2.300457534,2.351807788,2.435778919,2.700725594,2.512306575,2.20000508,2.436728719,2.567130162,2.593740286,2.594320959,2.404555885,2.503507211,2.343081679,2.354843357,2.531850363,2.623920486,2.282527866,2.179632135,2.761008649,-3.053052461,2.991460585,2.450062662,2.467191082,2.629649655,2.629696664,2.308589745,2.257673154,2.55140429,-3.02044008,2.914661192,2.827925206,2.582123158,2.444923225,2.657545865,-2.642302246,2.665979588,2.874632214,2.532864321,-3.138825391,2.915249829,2.912960046,2.599812426,2.916283774,2.941080329,-2.452861179,-3.138210545
1.198554757,0.862397849,1.452411056,1.974033972,1.933344266,1.824618225,1.135386454,1.87450684,1.820701527,2.322368677,2.274803735,2.416056337,2.193153614,2.29867684,2.277252374,2.53047157,2.689215518,2.592264493,2.438795562,2.626411358,2.958847973,2.749740324,3.136396581,2.654050256,-2.894112433,2.512586965,2.176332142,2.551168493,2.625737094,3.084493983,-2.621260829,-1.730174329,-2.722749107,-3.122213629,-2.846619944,1.194708823,-2.860606429,-3.129686932,-2.643404719,-1.50478433,-0.088744043,-3.083374837,-2.802061863,-2.987445468,-2.69939333,-2.486710632,-2.672434558,-2.555551763,-1.104628068,-2.127707464,-2.342505991,-2.398214974,-2.416210407,0.363662274,-0.810654931,-1.800977342,0.11384743
-2.221947337,2.022380285,-2.153790763,2.444854467,2.806382943,2.233166987,1.58648532,1.536243373,2.566390521,2.95422569,1.089442287,1.990753592,1.600318257,1.970954582,2.129365701,2.345170037,1.398237337,-1.096395011,-0.994719147,1.34281141,1.312900956,1.641442148,1.749159901,0.458568739,0.337343439,-1.198189818,-1.32952931,-2.904704827,3.077425583,1.984250128,2.360164585,2.490276925,0.126208464,-0.211869459,-1.087025496,-1.43312376,-1.040311885,-1.868148717,-2.428926931,-2.634984964,-0.82012478,-0.265218866,0.119265648,0.16955571,0.325399478,2.359139365,-2.337641963,-2.785148259,-0.892968706,-0.339736654,0.596320419,0.220528889,3.119650552,-1.599335242,-1.572228431,1.13122364,-0.935963134
3.086317157,2.683967446,1.940217509,2.009893515,1.497222379,2.415586752,2.620838074,2.17421643,1.980060927,1.917485605,2.217691663,2.340388729,2.80942537,2.840348303,2.795688392,2.701757761,-3.106863273,2.831686396,2.501843835,3.084208683,2.418312321,2.407968774,2.809679392,1.475441448,-3.138365032,2.958094613,2.941623946,-2.872228795,-2.715773285,2.626925206,2.218496237,1.998457369,-2.641078734,-2.888043623,-3.019758719,-2.485467778,2.91986452,-1.999189148,-2.440299761,-2.466368904,-2.982669215,-2.89289695,-2.743954793,-2.655509621,-2.622013598,-2.366242697,-2.640788908,-2.461314716,-2.749911981,-2.769627185,-3.139230641,-2.700052393,-2.380600452,2.809374601,-2.818229364,-2.741991411,-2.290262035
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.144544364,0.661299951,1.763809633,1.173092553,1.123643726,2.003862923,2.410048628,2.654070603,2.333881787,2.380293305,2.353496022,2.379574456,2.601971136,2.650859742,2.576938786,2.518550919,2.097829863,2.363306419,2.476563942,2.707150175,2.733230519,2.493118429,2.222072456,2.286892323,2.417215685,2.412869363,2.318919493,1.665091718,2.10466566,2.554413572,1.765911449,2.287943011,2.522735225,1.963927757,2.28448025,2.504350723,1.853660935,1.632867298,2.136734457,2.367622831,2.090383803,3.118041593,3.109540085,-2.794250005,1.998772978,2.210833791,2.150029119,2.300205805,1.980382498,2.060149991,2.842091292,1.396534017,1.522195173,2.114403176,2.464432772,2.110983988,2.645226385
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.942394435,2.260506693,2.042403086,2.138802254,2.379933749,2.316910104,2.153515115,2.551696708,2.589223416,2.508372841,2.456913571,2.464549544,2.30755816,2.305047541,2.305086177,2.351787071,2.277663222,2.315893935,2.328525676,2.6139102,2.768296631,2.618132744,2.373109478,2.549416579,2.261432563,2.499991221,2.711797776,2.630702436,2.964724744,2.828425817,2.374726853,2.528893736,2.34639398,2.393791799,2.382925239,2.746096079,2.690049061,2.526536115,2.378300095,2.124403279,2.215034977,2.329199007,2.173818378,2.922592373,2.51336629,2.675369858,2.280269511,2.173325351,2.306826398,2.290264177,-2.041267985,-3.13026696,2.394038446,1.836019795,2.290132226,-2.055823271,2.431301157
2.35113842,2.50282561,2.334328592,2.297468367,2.27380144,2.413902827,2.631365658,2.351555857,2.414036471,2.384966923,2.363891241,2.453369414,2.425918076,2.410815207,2.638039346,2.696148328,2.401020378,2.378037524,2.340251754,2.319528073,2.305052179,2.35384155,2.514653876,2.22625821,2.30775289,2.311465466,2.167706049,2.242562556,2.163743082,2.301098978,2.458597652,2.39934164,2.258999517,2.235202764,2.175572143,2.221425532,2.254592313,2.146955445,2.285332795,2.30184519,2.341215991,2.162789517,2.093329773,2.160774687,2.216257236,2.164185358,2.103608171,2.094098954,2.330578874,2.200064625,2.14085316,2.130904642,2.165967879,2.226274161,2.000645114,2.140171742,2.152790858
2.501450349,2.656000771,2.579933969,2.481890149,2.614731128,2.845365125,2.429530445,2.590008326,2.816521815,2.865857385,3.010742442,-3.105470114,2.982123895,2.868689843,3.01901605,2.483745158,2.685004353,-3.057506253,-2.764795903,-2.840258339,-2.949757385,-3.031910246,2.776976723,2.86199308,2.812838941,2.742513578,-1.998423475,-2.243721699,0.371129744,3.070815639,2.64901439,2.725425909,-3.043923237,2.58843276,-2.038898337,-2.081214416,-1.090698033,-2.179411984,-2.127874775,-2.913049326,2.956910753,-2.426426672,-1.488513868,-1.684622174,-1.505490855,-1.36751932,-0.823857555,-1.824049285,3.130210773,-3.054476164,0.924270413,-0.897111755,-1.253690323,1.723237592,-3.028636438,0.116197517,-2.768620083
