participant_id,imm_1pres,imm_2pres,imm_4pres,del_1pres,del_2pres,del_4pres,change_1pres,change_2pres,change_4pres
sub-001,33.33333,68.333333,75,26.66667,68.333333,76.66667,-19.999982,0,2.222226667
sub-002,13.33333,50,71.66667,15,46.666667,66.66667,12.50002813,-6.666666,-6.976743862
sub-003,93,81.666667,38.33333,96.66667,81.666667,41.66,3.942655914,0,8.67827032
sub-004,6,43.333333,91.66667,5.333,29,95,-11.11666667,-33.07692256,3.636359868
sub-005,21.66667,55,81.66667,21.66667,47,76.66667,0,-14.54545455,-6.12244873
sub-006,23.33333,65,78.33333,21.66667,51.666667,83.33333,-7.142829592,-20.51282,6.382978995
sub-007,10,66.666667,40,11.66667,65,33.33,16.6667,-2.500000488,-16.675
sub-008,48.33333,78.333333,96.66667,46.66667,73.333333,96.66667,-3.448262307,-6.382978751,0
sub-009,33.33333,70,95,31.66667,66.666667,95,-4.9999805,-4.761904286,0
sub-010,23.33333333,53.33333333,85,21.66666667,48.33333333,80,-7.142857143,-9.375,-5.882352941
sub-011,46.66667,76.666667,85,45,73.333333,81.66667,-3.571435459,-4.347826938,-3.921564706
sub-012,33.33333,78.333333,88.33333,31.66667,73.333333,86.66667,-4.9999805,-6.382978751,-1.886784977
sub-013,75,50,98.33333,73.33333,50,96.66667,-2.222226667,0,-1.694908532
sub-014,31.66666667,75,96.66666667,30,75,93.33333333,-5.263157895,0,-3.448275862
sub-015,71.66666667,88.33333333,95,70,85,91.66666667,-2.325581395,-3.773584906,-3.50877193
sub-016,43.33333,50,95,43.33333,55,96.66667,0,10,1.754389474
sub-017,1.666666667,25,55,1.666666667,26.66666667,43.33333333,0,6.666666667,-21.21212121
sub-018,26.66666667,53.33333333,85,20,55,81.66666667,-25,3.125,-3.921568627
sub-019,20,55,82,20.44,50,91,2.2,-9.090909091,10.97560976
sub-020,40,76.666667,90,35,71.666667,88.33333,-12.5,-6.521739102,-1.851855556
sub-021,51.66666667,71.66666667,83.33333333,53.33333333,76.66666667,81.66666667,3.225806452,6.976744186,-2
sub-022,31.66666667,63.33333333,78.33333333,30,66.66666667,75,-5.263157895,5.263157895,-4.255319149
sub-023,43.33333333,86.66666667,90,53.3333,55,53.33333333,23.07684615,-36.53846154,-40.74074074
sub-024,10,35,76.66666667,10,30,71.66666667,0,-14.28571429,-6.52173913
sub-025,23.33333333,50,81.66666667,21.66666667,50,78.33333333,-7.142857143,0,-4.081632653
sub-026,58.33333,65,90,61.66667,60,95,5.714297469,-7.692307692,5.555555556
sub-027,25,63.33333333,75,28.33333333,70,78.33333333,13.33333333,10.52631579,4.444444444
sub-028,18.33333333,51.66666667,81.66666667,16.66666667,48.33333333,80,-9.090909091,-6.451612903,-2.040816327
sub-029,70,83.33333333,93.33333333,68.33333333,86.66666667,93.33333333,-2.380952381,4,0
sub-030,5,15,41.66666667,5.555555,15,36.66666667,11.1111,0,-12
sub-031,11.66666667,41.66666667,71.66666667,11.66666667,51.66666667,73.33333333,0,24,2.325581395
sub-032,55,86.66666667,96.66666667,56.66666667,90,96.66666667,3.03030303,3.846153846,0
sub-033,1,6.666666667,10,1,5,10.5,0,-25,5
sub-034,11.66666667,25,55,6.666666667,20,38.33333333,-42.85714286,-20,-30.3030303
sub-035,5,13.33333333,30,6.666666667,10,30,33.33333333,-25,0
sub-036,50,78.33333333,78.33333333,46.66666667,80,81.66666667,-6.666666667,2.127659574,4.255319149
