Fp2,Fp1,AF8,AF4,AFz,AF3,AF7,F8,F6,F4,F2,Fz,F1,F3,F5,F7,FC6,FC4,FC2,FCz,FC1,FC3,FC5,T8,C6,C4,C2,Cz,C1,C3,C5,T7,TP8,CP6,CP4,CP2,CPz,CP1,CP3,CP5,TP7,P8,P6,P4,P2,Pz,P1,P3,P5,P7,PO8,PO4,POz,PO3,PO7,O2,O1
0.199952652,0.145613085,0.126209191,0.240853012,0.243296826,0.193842478,0.112435925,0.27445587,0.263153835,0.278651039,0.279650883,0.14599948,0.144838123,0.14791711,0.149340872,0.146331561,0.175986422,0.03658649,0.053966549,0.143056506,0.110350971,0.121359379,0.129688227,0.195630645,0.193714713,0.038381546,0.049936206,0.0593002,0.112730674,0.091084319,0.074436522,0.104408059,0.094431533,0.089994544,0.052076488,0.04969682,0.117532435,0.140602966,0.145359258,0.131537888,0.098699025,0.024339339,0.016310771,0.08187698,0.055691124,0.166799458,0.097370669,0.148415608,0.125799854,0.114375299,0.05623661,0.064458647,0.143956074,0.102164456,0.100638889,0.029158689,0.109391035
0.307518542,0.177921524,0.27926878,0.147285859,0.196054017,0.113227629,0.171717891,0.163449194,0.152161157,0.128070551,0.116504707,0.1122907,0.104175345,0.090974961,0.058853794,0.083290767,0.115554161,0.07009678,0.056649741,0.027887144,0.075004214,0.080166645,0.122431856,0.103408747,0.130010016,0.05023387,0.051257658,0.061528412,0.090234679,0.075588744,0.147350403,0.1432128,0.117858958,0.122697124,0.114462555,0.019906218,0.111828327,0.126665459,0.14428629,0.213507824,0.167910944,0.146425772,0.12175411,0.12986424,0.229193395,0.253815695,0.180080003,0.217615472,0.221578905,0.194252293,0.210923283,0.139895664,0.213566906,0.256054628,0.124948001,0.172702822,0.256383232
0.291458222,0.340355534,0.259919725,0.174631825,0.168588499,0.136994296,0.200128943,0.186200403,0.151618594,0.152233232,0.162839216,0.102576894,0.05726898,0.039173839,0.084253203,0.14547748,0.138230405,0.224217631,0.249139664,0.092108343,0.08400603,0.120382356,0.104416686,0.30153812,0.241367665,0.30492323,0.263527534,0.217701705,0.126584926,0.134970552,0.232029011,0.235056507,0.306235284,0.375063356,0.361200956,0.33711784,0.328784832,0.246426897,0.246764766,0.250548219,0.288288564,0.382559554,0.376228594,0.370555991,0.389843321,0.336917681,0.262199938,0.276190684,0.314894277,0.312245825,0.381195719,0.382328121,0.372681839,0.345445995,0.340053701,0.398960934,0.364687722
0.387860305,0.074755446,0.15483694,0.176671943,0.077988797,0.21820461,0.093455089,0.088561107,0.165564362,0.091280625,0.091571742,0.162441857,0.262780651,0.195926463,0.132119554,0.066243208,0.139276953,0.139973648,0.150893355,0.09112316,0.296832529,0.358368935,0.134771643,0.221831632,0.189830095,0.174196982,0.176880459,0.201555273,0.27323028,0.252978445,0.283820671,0.263921432,0.225428766,0.172274627,0.146812237,0.259889386,0.235316134,0.284195383,0.231835375,0.233820138,0.228284617,0.243179966,0.174971663,0.164955255,0.144514492,0.105948509,0.179581741,0.231262698,0.229883119,0.206686994,0.136082745,0.154513465,0.122681842,0.121654967,0.149652877,0.131341271,0.041658453
0.279532386,0.483233892,0.27577163,0.383851686,0.50800697,0.484957091,0.447244265,0.371834568,0.418839808,0.398859491,0.419891699,0.460864051,0.441653767,0.426233771,0.479503885,0.370459142,0.371173106,0.448346583,0.459185118,0.394839524,0.468684781,0.467116651,0.402275563,0.173821957,0.362709054,0.448951187,0.43346503,0.487367591,0.503762199,0.483320818,0.458136569,0.392235507,0.27489875,0.453374821,0.468648418,0.493795494,0.52573154,0.537962371,0.521359212,0.484037504,0.342075726,0.155504127,0.480095332,0.508540217,0.486188353,0.471737654,0.526064678,0.486805572,0.490695058,0.385970886,0.233871125,0.463455897,0.453701698,0.407776033,0.327660623,0.207157801,0.436026765
0.324389119,0.38211004,0.310695716,0.317817757,0.342213545,0.325559009,0.309556915,0.223140022,0.240726036,0.190728859,0.191009166,0.288127631,0.322781596,0.323581204,0.289765628,0.274180377,0.191084017,0.291347313,0.310092209,0.311090045,0.282369542,0.349578837,0.327501902,0.276986621,0.262362791,0.288491681,0.360205528,0.375824108,0.347801196,0.357030267,0.323606136,0.266993319,0.312621963,0.314644512,0.337620043,0.383840965,0.370491662,0.3408412,0.324625763,0.229469934,0.254586791,0.350589595,0.388298641,0.353704563,0.354347329,0.341319938,0.324542487,0.319780823,0.24007135,0.244378337,0.284260896,0.323564021,0.263439575,0.291327392,0.265619168,0.275201415,0.243796295
0.408103213,0.344983558,0.356211455,0.413109711,0.370023079,0.260653486,0.350631898,0.273298055,0.220153803,0.245083929,0.231691873,0.183784223,0.214432424,0.254790046,0.219790327,0.219391624,0.155593583,0.144669673,0.148177796,0.155485597,0.174266452,0.188516702,0.145652123,0.143368175,0.148513396,0.128856387,0.15971104,0.146729826,0.152666269,0.225622863,0.160695315,0.178266672,0.194500673,0.194796847,0.171416356,0.163731361,0.180973711,0.162205354,0.140386448,0.149252632,0.162676086,0.210513475,0.20122871,0.211733303,0.202557094,0.176013125,0.136138849,0.148082088,0.161170912,0.136120911,0.220212805,0.197474528,0.13388948,0.145529196,0.155666754,0.21547815,0.160341676
0.0714699,0.112431225,0.045670193,0.065653366,0.094851708,0.095400447,0.021338295,0.047905492,0.07233256,0.124553742,0.145650902,0.098186231,0.081721344,0.066693047,0.048700682,0.063018235,0.072044365,0.075939077,0.097324928,0.11442198,0.111371178,0.11963495,0.097197894,0.020640911,0.07480511,0.040323948,0.074826795,0.098720417,0.073274707,0.081346652,0.164988359,0.094209205,0.135464193,0.058068238,0.042548922,0.039694485,0.055293093,0.091645281,0.063757824,0.179119309,0.140190861,0.123230185,0.161517065,0.130349448,0.12534996,0.064788328,0.034998678,0.047424122,0.232529567,0.219323258,0.129196946,0.211343233,0.134491306,0.111971347,0.231271213,0.160069315,0.174654768
0.139370063,0.130235949,0.131511561,0.153606249,0.171555443,0.124457201,0.075966216,0.137714024,0.174192993,0.151311416,0.151453591,0.153222626,0.143398128,0.171102528,0.096109843,0.091500811,0.162122196,0.160296491,0.157650381,0.14503191,0.17462971,0.162344223,0.111002515,0.145058544,0.156154737,0.165412292,0.198280367,0.179215538,0.190406206,0.169901732,0.174798399,0.140509321,0.159964494,0.18944244,0.23970565,0.240276391,0.201471527,0.221260172,0.201186674,0.208015822,0.175708131,0.190714337,0.205663556,0.222825131,0.219110823,0.213653192,0.245713566,0.262071,0.221252903,0.200790245,0.222699367,0.22350851,0.222709931,0.21919795,0.230629537,0.217489334,0.232759505
0.108904556,0.155093116,0.173595149,0.196987561,0.152508174,0.206983788,0.157488612,0.224678264,0.234184983,0.252291898,0.248836239,0.159016075,0.192082901,0.157514963,0.178251358,0.153434555,0.144669015,0.201155483,0.231956957,0.166760303,0.157154692,0.168732552,0.118186738,0.167953671,0.167250945,0.047171392,0.100034696,0.052727425,0.087860294,0.084463547,0.094083822,0.069721056,0.160212671,0.13663923,0.186556634,0.154487344,0.201311861,0.122316206,0.123979202,0.134979884,0.151725386,0.240512363,0.252922211,0.278398743,0.249621805,0.24471443,0.179546245,0.158671647,0.167349587,0.182284274,0.359583339,0.251663374,0.25727928,0.191187386,0.142232444,0.201782902,0.146802202
0.276512324,0.137021333,0.173092304,0.145420541,0.133839308,0.108025326,0.11915196,0.308913619,0.179524732,0.181806547,0.16791264,0.186774164,0.180781582,0.186958618,0.27804735,0.198229077,0.156825588,0.193741651,0.186533139,0.274895454,0.210435172,0.164472645,0.204807256,0.176597084,0.174921512,0.196239291,0.262284701,0.206343886,0.24545676,0.283629411,0.254854267,0.167889307,0.270034202,0.264300383,0.229193272,0.230812558,0.169306765,0.217939128,0.251987508,0.293226511,0.312149955,0.274835443,0.1966243,0.177239506,0.184900845,0.19482934,0.26878458,0.219444374,0.281862473,0.299608918,0.220684387,0.200911512,0.15808502,0.178189686,0.329500525,0.22625752,0.229017359
