Fp2,Fp1,AF8,AF4,AFz,AF3,AF7,F8,F6,F4,F2,Fz,F1,F3,F5,F7,FC6,FC4,FC2,FCz,FC1,FC3,FC5,T8,C6,C4,C2,Cz,C1,C3,C5,T7,TP8,CP6,CP4,CP2,CPz,CP1,CP3,CP5,TP7,P8,P6,P4,P2,Pz,P1,P3,P5,P7,PO8,PO4,POz,PO3,PO7,O2,O1
0.245176212,0.226816924,0.246353595,0.26350748,0.316182617,0.25571979,0.190058649,0.296916751,0.304411567,0.364719245,0.322163679,0.197532544,0.207606543,0.19966114,0.215174408,0.300225737,0.319380314,0.242942575,0.268202851,0.196811942,0.189176828,0.243082031,0.203482742,0.323623873,0.355757477,0.241914915,0.18061917,0.182261681,0.196224033,0.172426757,0.153394166,0.212692929,0.251089606,0.317731134,0.218198406,0.207204069,0.164429296,0.125605816,0.143582317,0.099989629,0.138401543,0.255009774,0.246337155,0.171303946,0.15994419,0.086390878,0.111869734,0.111786211,0.14766688,0.17645153,0.101089841,0.166157369,0.126469925,0.071359101,0.101064996,0.06666538,0.135520471
0.146642791,0.20152871,0.095153816,0.136064784,0.24574284,0.160370005,0.176151189,0.162701761,0.184742372,0.170984312,0.20704137,0.133422721,0.13973725,0.114608635,0.179416552,0.125545087,0.117803806,0.142322535,0.144760465,0.137250375,0.113338567,0.143410694,0.153660247,0.092716648,0.069990431,0.037692111,0.099852474,0.103418954,0.054062465,0.14254558,0.061414471,0.032244462,0.138178582,0.077490122,0.118252,0.071961785,0.130351757,0.111634038,0.098971282,0.068811598,0.012846076,0.109656435,0.167689068,0.099167915,0.129340838,0.188155826,0.16744646,0.17574881,0.053605771,0.014085118,0.304971093,0.188737923,0.124577968,0.024440347,0.217524857,0.180152308,0.250904203
0.057515053,0.139342989,0.077188418,0.040823726,0.041092389,0.082965682,0.14171888,0.04621311,0.028059727,0.031325081,0.026129757,0.094738513,0.129670889,0.139149546,0.093886514,0.11315523,0.027501968,0.031316869,0.120691562,0.068911557,0.106184564,0.10776085,0.094983516,0.12575992,0.173062235,0.096953042,0.06895181,0.068391869,0.060066061,0.043251664,0.070597348,0.150882737,0.149372148,0.104217365,0.105054934,0.027949573,0.059148601,0.061778136,0.066465687,0.048706041,0.027320861,0.222175212,0.239208628,0.069407124,0.108926845,0.037138837,0.066014558,0.13953595,0.072799025,0.046786273,0.250961447,0.163380185,0.161735134,0.094441477,0.114139281,0.13210876,0.083193464
0.236559921,0.289579751,0.258735959,0.318922633,0.170376143,0.156245722,0.396618724,0.249640307,0.284668446,0.335920515,0.198950865,0.264859753,0.259291458,0.22273862,0.337860176,0.361742891,0.244513495,0.239324056,0.234247487,0.237170232,0.303166275,0.228763737,0.298663456,0.238326558,0.22329794,0.241562066,0.272970464,0.141621118,0.252705324,0.121105327,0.229077548,0.197377708,0.392462554,0.193493541,0.412005221,0.164325593,0.165252233,0.229959188,0.172547279,0.139537595,0.233210749,0.415288039,0.441254466,0.480877952,0.302709012,0.323947121,0.193349446,0.110242629,0.183028645,0.211437043,0.322274151,0.512781312,0.362358946,0.128833337,0.263702504,0.234346961,0.321785139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.231296708,0.199340402,0.158516017,0.193798919,0.186211887,0.203552747,0.133278425,0.164897472,0.19383345,0.172735316,0.218538201,0.202103536,0.164017217,0.210124351,0.165278503,0.179200129,0.178442604,0.2764321,0.209801052,0.234972716,0.20075682,0.251222174,0.209919002,0.174248277,0.167296613,0.233845861,0.184956323,0.174600361,0.234898141,0.218246786,0.34553897,0.278075606,0.203620131,0.096144345,0.149683983,0.146687446,0.263044667,0.327297331,0.235801975,0.205871181,0.099211671,0.130589722,0.159492092,0.118865215,0.3472329,0.264619241,0.358078574,0.257005577,0.178135259,0.141198203,0.197803632,0.224714863,0.19853478,0.182938046,0.256459185,0.268681833,0.171326724
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.157906678,0.170544027,0.220906432,0.231276418,0.197580985,0.215045855,0.319103706,0.261089257,0.324977442,0.299564491,0.315127192,0.30790925,0.335086015,0.352185168,0.336817031,0.289605838,0.348598522,0.349255388,0.287779824,0.385306141,0.424387287,0.323291126,0.251120738,0.200247125,0.333565332,0.29812797,0.281863499,0.332590295,0.343452319,0.264163076,0.238823682,0.227424544,0.253671871,0.307324118,0.384420127,0.282350084,0.335616589,0.287423239,0.268343109,0.197661277,0.202630976,0.202338537,0.225433962,0.095227572,0.248702556,0.216745126,0.242657021,0.239984933,0.281620486,0.215349097,0.122177045,0.048913948,0.078732735,0.108889064,0.270944004,0.03755101,0.188761645
0.261717079,0.285415514,0.26968741,0.306188432,0.284754871,0.329183921,0.347023591,0.309408418,0.278067234,0.326430061,0.366044531,0.347616799,0.317227793,0.345852651,0.335897824,0.363041622,0.301110425,0.354261273,0.333068042,0.319934968,0.344551087,0.317010935,0.358861417,0.389288205,0.389138931,0.387858472,0.278917344,0.260190901,0.293156687,0.287133908,0.340475489,0.318285119,0.397573541,0.364623076,0.342132186,0.335680848,0.281392846,0.281367742,0.279312903,0.261403961,0.308293606,0.362161014,0.372059078,0.339046696,0.365641395,0.290718975,0.283897062,0.274025684,0.285007881,0.255890478,0.353761316,0.363346688,0.312749348,0.314502829,0.288480585,0.367640835,0.299551376
0.177614433,0.214729198,0.147060035,0.243762479,0.2275519,0.253649381,0.169824869,0.244420808,0.256121192,0.2759121,0.256650732,0.180064919,0.205044107,0.220792565,0.185222242,0.218480567,0.29554277,0.119808556,0.122313955,0.198947598,0.252860586,0.170067286,0.31727902,0.211111623,0.266895635,0.017247773,0.036939762,0.14941548,0.041221202,0.294510945,0.323605807,0.381350006,0.193308239,0.142621111,0.108852255,0.037607594,0.062515742,0.074012319,0.146997991,0.146983199,0.220094526,0.072573674,0.054672651,0.053374578,0.061074665,0.14490848,0.019162289,0.176193326,0.234927226,0.200028761,0.11308511,0.118515452,0.125158547,0.090669244,0.120887058,0.140411347,0.016693464
