Fp2,Fp1,AF8,AF4,AFz,AF3,AF7,F8,F6,F4,F2,Fz,F1,F3,F5,F7,FC6,FC4,FC2,FCz,FC1,FC3,FC5,T8,C6,C4,C2,Cz,C1,C3,C5,T7,TP8,CP6,CP4,CP2,CPz,CP1,CP3,CP5,TP7,P8,P6,P4,P2,Pz,P1,P3,P5,P7,PO8,PO4,POz,PO3,PO7,O2,O1
34.16030534,32.94797688,32.53968254,33.59840954,34.87475915,36.14457831,31.89823875,33.75,34.77366255,34.97942387,35.17382413,35.01048218,35.66878981,34.80083857,34.4017094,34.375,29.86425339,30.56872038,31.98090692,35.44857768,33.99558499,34.93449782,34.44444444,28.96551724,28.66972477,31.83962264,29.7979798,32.92079208,33.33333333,31.71355499,32.48081841,32.35294118,27.55102041,28.43137255,27.98913043,28.93258427,28.69565217,33.52601156,33.33333333,31.65680473,33.53115727,27.1468144,27.42857143,27.90697674,28.49002849,29.6969697,30.86419753,31.80428135,32.01219512,30.09118541,23.97260274,28.4375,27.18446602,30.37974684,31.27147766,26.19808307,29.18032787
37.45928339,36.82432432,38.37638376,37.54789272,39.65014577,40,36.80297398,35.53719008,35.91836735,34.61538462,33.96946565,41.46341463,39.58333333,38.51590106,40.2173913,37.5,35.65217391,37.55274262,42.66055046,43.25581395,36.13861386,37.6146789,38.0952381,35.65217391,36.57407407,37.68844221,39.80582524,37,37.30569948,34.74178404,37.68844221,35.71428571,35.02824859,30.625,32.51533742,40.21164021,34.09090909,33.15217391,34.10404624,21.52777778,23.77622378,30.24691358,30.86419753,29.11392405,31.81818182,29.13907285,29.74683544,30.71895425,22.91666667,21.67832168,23.28767123,25.49019608,27.81456954,29.60526316,25,19.40298507,21.76870748
37.56756757,39.74025974,37.13527851,40,38.34951456,40.54054054,37.31343284,39.51612903,39.89637306,39.79328165,36.18090452,38.23529412,38.84711779,38.94472362,38.67684478,34.75935829,38.32853026,37.46630728,35.04043127,36.92307692,36.2804878,35.9375,34.6749226,30.20408163,29.57198444,29.60288809,30,32.10702341,33.1147541,33.78378378,31.61764706,30.90909091,29.80769231,28.57142857,27.51937984,28.30188679,26.71755725,31.25,30.97014925,29.57198444,29.13385827,21.71428571,20.10869565,24.76635514,28.63436123,27.16049383,30.24193548,28.92561983,28.38983051,29.78723404,18.93491124,19.89795918,19.90291262,27.75330396,28.89908257,19.88304094,25.71428571
30.83333333,25.19685039,33.05084746,30,27.94117647,29.49640288,31.91489362,28.90625,28.90625,30.89430894,25.80645161,27.04918033,29.77099237,29.41176471,30.43478261,30.4964539,31.14754098,29.50819672,30.32786885,29.05982906,34.10852713,31.29770992,33.09859155,31.30434783,30.50847458,30.70866142,27.64227642,27.82608696,32.43243243,30.15873016,28.35820896,27.94117647,28.57142857,31.03448276,32.0754717,30,29.72972973,34.7826087,33.03571429,31.30434783,32.5,29,28.43137255,27.45098039,31.68316832,30.69306931,34.7826087,33.62831858,31.3559322,31.09243697,24,27.18446602,32.25806452,35.18518519,32.14285714,22.72727273,40.90909091
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.47699758,32.93269231,31.51041667,33.7182448,35.68181818,32.74111675,31.16147309,33.03303303,35.12820513,35.29411765,34.97536946,33.76963351,32.79569892,32.97297297,32.20338983,32.58426966,30.97345133,28.53185596,31.26760563,30.38348083,32.5443787,33.04597701,27.76119403,23.35329341,20,30.68181818,30.48780488,23.94822006,27.67295597,31.85840708,24.45820433,19.66666667,18.15384615,18.29652997,23.05194805,22.77227723,22.29965157,20.91503268,22.81879195,20.6557377,16.27118644,19.375,18.15286624,19.8757764,18.77022654,20.71197411,19.19191919,21.37931034,16.60899654,17.46575342,20.32786885,17.91530945,17,15.53398058,18.63354037,17.39130435,15.2866242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.56386293,38.67069486,38.36477987,41.73913043,44.02332362,41.92634561,38.78787879,38.04034582,38.6167147,42.98507463,44.24242424,41.74174174,42.05882353,41.64133739,39.14373089,37.99392097,41.30434783,42.02453988,38.68852459,40.33333333,41.33333333,42.58675079,37.54152824,40.82397004,41.80064309,38.9261745,39.23611111,37.23404255,38.48920863,35.37414966,33.45070423,35.41666667,39.23076923,36.5248227,36.5942029,34.55882353,34.29752066,37.79527559,32.93172691,32.71375465,34.23076923,33.59683794,36.58536585,35.31914894,33.19148936,35.02109705,33.33333333,32.88888889,31.30841121,36.60714286,36.2244898,37.03703704,36.36363636,33.33333333,32.27513228,36.41618497,34.46327684
34.375,34.3358396,35.57951482,31.81818182,33.24396783,32.32044199,32.26666667,33.87533875,33.70165746,31.21546961,30.81232493,30.98591549,32.28571429,32.47863248,31.11111111,31.57894737,32.32044199,30.59490085,30.74712644,30.43478261,30.47337278,29.3768546,31.89655172,29.55223881,30.20527859,29.27536232,29.375,31.09756098,30.79178886,30.37249284,33.52272727,30.37249284,30.95975232,28.35365854,29.6969697,29.16666667,31.34328358,30.17751479,29.70588235,28.18991098,30.02915452,29.00302115,28.87537994,30.12048193,30.72289157,29.6735905,28.18991098,28.52852853,28.4457478,28.4457478,29.87804878,30.39513678,29.16666667,29.08011869,27.97619048,31.21212121,29.08011869
43.454039,41.82389937,41.24293785,41.62011173,41.61676647,39.27392739,44.19354839,36.8902439,40.43887147,39.93710692,36.97183099,37.44855967,36.71875,40.33333333,41.05960265,43.64820847,33.83458647,35.2,34.95934959,36.56387665,37.21973094,32.17391304,40.4109589,31.95488722,33.20754717,30.25210084,36.28318584,33.80952381,30.39215686,30.97345133,30.41666667,27.96610169,28.70813397,30.472103,30.98591549,34.38914027,31.05022831,26.8722467,25.45454545,25.11210762,23.45132743,28.36538462,29.18660287,30.28846154,29.81651376,27.92792793,25,25.44642857,21.36363636,22.62443439,25.11415525,28.63636364,28.25112108,23.45132743,16.74418605,28.57142857,19.7309417
45.79710145,47.28096677,46.01769912,48.38235294,45.09803922,48.08575804,47.14714715,43.85964912,46.98795181,47.3354232,47.67080745,47.89391576,48.04381847,48.0952381,47.1669219,47.50378215,47.75086505,48.02744425,48.06070826,47.95221843,49.7470489,49.50331126,49.49494949,50.71428571,50.90180361,48.87737478,47.00374532,48.55491329,50.90252708,47.95539033,46.46924829,47.75413712,49.16943522,47.66666667,44.41964286,44.97716895,46.17117117,46.61835749,45.33678756,48.68804665,48.82352941,44.36363636,43.55400697,47.20496894,45.40059347,49.37106918,45.18072289,45.45454545,44.13580247,48.21428571,44.06779661,45.74898785,46.80851064,43.18181818,46.34920635,45.14767932,41.70040486
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.73883162,33.38983051,36.33217993,35.37414966,36.7003367,35.83916084,36.60130719,32.08955224,37.07865169,36.98113208,35.42857143,34.41064639,33.82352941,32.31939163,35.61403509,34.08695652,33.61702128,33.48729792,33.48623853,35.8490566,32.15077605,31.85840708,34.83606557,26.85512367,31.7679558,31.84357542,29.22535211,31.06508876,31.41486811,30.64516129,31.67082294,31.43507973,27.27272727,31.38888889,27.34375,27.41935484,30.84745763,27.96352584,28.05280528,24.43729904,24.51612903,27.01754386,27.09163347,27.27272727,28.1124498,26.38297872,26.58227848,27.08333333,28.24074074,23.60655738,22.42990654,27.90697674,29.67032967,29.27927928,28.05429864,21.16402116,27.42857143
