Fp2,Fp1,AF8,AF4,AFz,AF3,AF7,F8,F6,F4,F2,Fz,F1,F3,F5,F7,FC6,FC4,FC2,FCz,FC1,FC3,FC5,T8,C6,C4,C2,Cz,C1,C3,C5,T7,TP8,CP6,CP4,CP2,CPz,CP1,CP3,CP5,TP7,P8,P6,P4,P2,Pz,P1,P3,P5,P7,PO8,PO4,POz,PO3,PO7,O2,O1
85.70677615,84.87769113,74.15501852,103.61594,100.2196893,101.8382486,83.76061842,89.3185422,92.24361325,99.32987312,99.12257546,97.22710378,99.20138775,98.64388423,98.80286161,78.55404401,47.0214251,54.29546894,55.86219201,86.16259412,86.27163605,87.42865995,72.56335554,43.5117889,45.13047077,54.2383712,51.76871279,53.78100003,45.96112801,40.64084451,32.42311092,24.16820953,36.94895558,41.08280315,39.31933908,38.24584709,38.17793476,36.86276883,36.54844455,25.86640938,24.27392049,30.208557,31.86582274,35.44993011,36.5375762,36.05031408,33.08418373,31.86482746,29.96202792,28.07613738,24.612456,28.87854335,36.5175967,31.85311405,24.40682804,26.70356497,30.45225621
24.28975041,21.58685192,21.04889402,21.92358492,36.35117799,26.43144505,15.13083271,17.24725434,18.50641649,22.00212609,22.23339294,22.74825964,21.08688054,20.17804948,18.37898636,14.96421779,15.82073862,20.00461615,21.22550524,20.9196219,17.10807861,14.0023154,12.50252725,15.49578578,13.4621027,16.66175459,19.0406309,18.13996861,16.29029991,14.12902189,11.34492524,11.10933603,11.15988724,10.89270435,10.97081823,16.39360469,15.4295753,15.30045447,13.90435948,8.934975702,8.958731334,10.70366007,10.73826272,10.95285161,13.78879317,13.71860932,13.4314523,12.9256348,9.564554703,9.001313135,10.70792144,10.72754325,13.44139587,13.20096968,9.500770412,11.36855019,14.63452489
45.25347778,46.54369314,44.75245943,55.51101277,83.02787395,88.172775,59.94914523,39.78347266,56.4906879,57.39208346,87.34567476,95.86403554,99.47805488,99.88301675,95.12711279,73.01768268,36.81729292,74.96955637,75.64418316,76.41750557,71.23370456,55.16932937,51.81452798,21.85019695,24.48420058,55.17546117,58.5395907,66.5835078,62.26211992,46.88572122,37.35841004,33.10771217,18.67007738,35.22389821,48.3930696,50.28486125,51.26438633,50.18586969,38.52648999,34.62066878,30.70572547,26.46112949,30.66677862,39.28025641,42.34070117,41.4361122,37.29818121,34.81697029,29.67607687,28.06438471,30.550828,38.04498837,33.29080143,32.03970892,28.39033083,30.80365226,29.19932824
49.15238549,58.98053899,43.48730544,72.24674406,79.31167769,78.48993233,71.11875442,57.05421923,70.84616326,80.9338792,86.66025591,90.55047083,92.57432023,94.9069277,74.0916644,70.90067342,52.77118325,79.89666064,81.72185744,96.24273596,73.05820422,66.43427349,61.63001721,34.07945624,51.96284042,72.69795225,74.84179745,73.01193447,83.29230672,63.68684249,70.79502723,67.5342021,51.18044256,53.18630923,50.91631813,73.56296187,77.74580433,66.28734499,76.8194969,83.23914488,79.65292823,52.12127645,51.71284206,54.00383822,70.47201152,70.44122277,82.73604498,85.19073049,83.26587755,80.77703245,50.70090905,54.28206555,70.25053358,84.17556516,79.46062302,53.28061716,59.8482169
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.39977211,33.09202972,28.09903019,41.7144985,42.29716507,33.22325458,26.60211046,19.85147773,37.03458477,39.73643888,40.42072516,43.69703254,31.22919309,30.82176069,27.68064155,26.77084815,24.85349611,39.28541964,37.36847769,40.80819233,32.05766437,29.27117453,23.84870998,14.24099641,19.15228421,37.6670747,37.85931949,36.82250302,29.94838531,28.96772606,22.15787197,17.13056925,18.43657883,19.81130779,40.34652197,39.05995372,40.19428088,34.13109581,37.8081974,30.95977053,29.31442786,20.65960783,24.73560952,26.54316482,46.7706943,49.98872328,49.962022,38.86270283,31.70429176,30.45108224,23.42160517,50.82000226,55.54027313,45.48344984,40.91080238,36.58910347,42.72757766
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.56237283,50.27309536,49.03736829,77.29966028,76.66080423,72.86368651,67.19664414,57.82053592,62.60968994,85.84946015,85.85361991,84.48916466,84.44249519,82.43422217,76.85462058,61.9429037,75.29766306,76.79456052,87.41764466,93.34814842,86.33236868,80.56166838,39.37097135,31.48404028,71.87924456,75.13263774,78.76795265,86.84808541,78.03994744,57.64413117,31.9474287,30.16616788,36.15020191,46.3644121,50.10822452,60.65851072,68.08560707,60.86021148,50.62194821,44.47419539,43.53030424,41.0550527,47.53736897,50.59997575,53.50897411,58.92380148,59.87535151,58.05181043,45.56496208,40.00751691,51.67798731,52.15051191,59.89678827,60.17906883,51.61550597,64.03249798,61.42035945
29.84060358,32.20055282,29.22623178,31.88098824,32.84990457,35.55507101,30.19639709,28.44848182,29.21992274,32.36548449,33.50653115,34.48017237,36.11535328,35.65783465,30.68587671,29.2419076,27.5066665,32.39277725,34.2423996,35.20823588,37.22103347,36.44617766,29.69034045,27.48187475,27.68665642,31.69581265,37.09592143,37.98998134,36.8750163,35.20683238,29.10009296,27.52232569,28.63814706,30.00958027,32.62588293,33.37678676,34.24059027,35.35084478,34.2842239,31.59681267,28.00203402,29.68483884,30.64232689,31.99270756,33.08361525,33.30368535,33.89048977,32.95875328,31.75309712,31.82466988,31.45351916,31.51596404,31.97334996,32.26432596,31.47860856,31.48834063,31.71331477
63.39835552,49.24748822,55.78879507,71.6211185,72.02979894,53.94007395,45.22702939,48.30530266,68.20682994,68.1538352,69.80470011,59.47196552,57.49515193,51.0651205,45.87673706,40.63147914,33.12071414,59.310817,59.9487272,59.58813329,59.18921423,48.65601821,36.59840906,31.40893012,31.42713956,49.91041631,56.26521153,55.95448018,42.70257792,45.695386,28.42221914,26.20167255,23.03118443,39.95967678,43.86994571,51.76432525,47.27504042,44.86746905,33.51537399,29.06612285,27.3496586,40.42119214,43.39870044,44.08091923,46.06390282,46.11277465,41.45502014,34.0950631,29.58093246,28.87836534,35.07410398,45.72073889,45.32198936,39.23574759,28.66541221,39.26550561,29.10987705
