F3,Fz,F4,C3,Cz,C4,P3,Pz,P4,O1,O2
0.544137908,0.494078331,0.48716634,0.518332497,0.876740143,0.397907293,0.387751345,0.610777478,0.387251057,0.520638495,0.563203498
0.58894301,0.497677249,0.57933752,0.406830409,0.823368309,0.410768254,0.497258747,0.821392896,0.380430225,0.307612121,0.369189358
0.657794418,0.547284263,0.60359595,0.549772294,0.811528311,0.591754481,0.752759745,0.838359615,0.585342608,0.458790612,0.484251417
0.612296872,0.50814417,0.574228052,0.640495276,0.801579384,0.466084502,0.520931306,0.687624284,0.547522556,0.587243413,0.616052877
0.608262518,0.534372129,0.642269676,0.657344408,0.80469113,0.567095095,0.584208688,0.873252915,0.488470629,0.472587702,0.508347066
0.703761599,0.61648021,0.718019264,0.519527189,0.570319893,0.591545699,0.56047558,0.844967126,0.50193462,0.472995214,0.437563899
0.767907628,0.556868837,0.712316851,0.633075254,0.884950558,0.653847195,0.639570897,0.774118084,0.497411723,0.449807261,0.485242483
0.736197892,0.699658643,0.703765777,0.75883114,0.775507983,0.626400938,0.746363146,0.979572061,0.451549615,0.512231337,0.579789916
0.386059436,0.41465854,0.474384418,0.519637993,0.770850979,0.565411684,0.535771939,0.671689787,0.456383779,0.534721775,0.499965604
0.451590164,0.366444995,0.462317348,0.327966529,0.347530085,0.334675002,0.463355009,0.642312568,0.387516928,0.257303009,0.218872815
0.450015153,0.475261461,0.443993391,0.36558577,0.611866838,0.310434296,0.516811559,0.780726643,0.373310169,0.374064729,0.338024503
0.583767342,0.499295697,0.607122735,0.282306364,0.450881684,0.321490572,0.404865604,0.555752308,0.404168081,0.450988511,0.419316194
0.449289912,0.426694702,0.436453636,0.447609114,0.758115078,0.412440716,0.427329047,0.559581611,0.519757652,0.427906853,0.469517866
0.480789998,0.506288695,0.533494236,0.429674204,0.562636266,0.388545692,0.446135324,0.617670236,0.300511998,0.387502377,0.363066231
0.46878827,0.44481074,0.525121136,0.471470565,0.693970898,0.47298511,0.583292322,0.857979557,0.458878485,0.391350628,0.463892792
0.704209057,0.617496696,0.696600633,0.520286706,0.830248385,0.651772864,0.516606665,0.883722644,0.589490934,0.439841298,0.588655516
0.914658685,0.626162531,0.807345096,0.647259679,0.897453545,0.633267966,0.635080988,1.065432984,0.658305593,0.598566193,0.554734109
0.483369312,0.494188021,0.545456561,0.555151239,0.599692185,0.457759968,0.607532632,0.738426154,0.469960613,0.348205874,0.346776504
0.278132508,0.21869483,0.364288824,0.435016537,0.643238091,0.357466757,0.428431451,0.517983646,0.377975449,0.264437968,0.282513426
0.512221778,0.401238302,0.519534473,0.50215739,0.507297079,0.47051736,0.627355499,0.611891528,0.567513107,-0.060054475,0.374501666
0.81204318,0.71184379,0.875595849,0.978021161,1.054185335,0.865537247,0.882695696,0.997906716,0.678129961,0.669405265,0.756171154
0.635262162,0.46930929,0.596162046,0.4914374,0.650681287,0.528356825,0.541128058,0.890573948,0.501400471,0.284570013,0.292185805
0.296483303,0.204308663,0.288967475,0.214097624,0.596986068,0.328396012,0.42684818,0.649005653,0.494657543,0.214201026,0.197767523
0.169055481,0.123635274,0.181637267,0.166196771,0.340998414,0.205056648,0.218872107,0.297983552,0.192076727,0.133146437,0.147223061
0.257615173,0.219638434,0.241983501,0.266537732,0.49076889,0.27753756,0.299274234,0.495305771,0.264332715,0.199277369,0.265254315
0.306055757,0.255551755,0.308664103,0.53112387,0.448536875,0.408193537,0.383343185,0.34954084,0.252149828,0.161848084,0.169128204
0.705174299,0.542861511,0.70913205,0.643369133,0.557193993,0.606058876,0.55462212,0.818294402,0.491480028,0.435913086,0.406169337
0.533192021,0.393867008,0.627221547,0.670198632,0.881152927,0.604587587,0.58360413,0.580863613,0.373225532,0.474495674,0.479645294
0.552475589,0.487271923,0.522826783,0.482200918,0.748923761,0.47421834,0.437979716,0.685389294,0.455111812,0.459543005,0.378227466
0.649781884,0.576379314,0.673031379,0.685782194,0.909352108,0.693993566,0.585888074,0.640141844,0.555205792,0.635600314,0.643394327
0.615283932,0.387939075,0.638586571,0.623484505,0.772552885,0.653348352,0.507665193,0.855702933,0.583396003,0.347826164,0.358245469
0.533929729,0.34951022,0.497761322,0.45044766,0.853536113,0.464042782,0.373259923,0.561731785,0.328002507,0.648666619,0.555611444
0.5480303,0.37675355,0.568438605,0.544814463,0.711345898,0.598480787,0.532246787,0.658340264,0.489342231,0.402467,0.369944354
