F3,Fz,F4,C3,Cz,C4,P3,Pz,P4,O1,O2
0.540085883,0.09395585,0.394093723,0.252304288,0.339360316,0.004341052,-2.036952328,-1.562744656,-1.615124885,-3.01599808,-3.107690223
1.085094829,1.044244725,0.886197378,-1.064407944,0.436879532,-0.519508142,-1.558519682,-0.586232557,-1.400806145,-2.941503391,-2.877667126
0.886079718,0.247948968,1.966876656,2.707732123,1.147774626,-1.453800942,0.436751671,0.328780197,-0.318367517,2.463697394,2.825968258
1.000123703,0.224854057,0.508029046,-1.098411754,-0.925576543,-1.095659633,-1.46744458,-1.407563995,-2.076659635,-2.279033013,-2.976437068
1.149793781,1.238652978,0.713180501,-2.341195543,0.391174184,-0.795970972,-0.947974167,-0.452772511,-0.439989219,-2.686081377,2.598880819
0.571180254,0.875360835,0.745912438,-1.110426098,-0.079345192,-3.019689713,-0.753362035,-0.29728644,-0.801155632,-1.909522208,-1.571256947
1.105059288,0.861057765,0.885146803,-3.078363775,0.367978649,2.956306169,-0.765122185,-1.226947931,-0.79474862,-2.258723377,-2.194476501
1.011598618,2.047176152,1.052406949,-0.114912399,-0.46328491,-1.046046648,-1.187185383,-0.782578679,-2.483738063,3.067007323,2.939182863
0.56487252,0.957024021,0.441989203,-0.058413094,0.652859061,0.191775503,-0.866984614,-0.365371962,-0.744821352,-2.566049527,-3.12441431
1.038226976,0.887172237,1.696322478,-0.45323194,0.356624639,-0.360017908,-0.645875456,-0.651733153,-1.282443548,-1.863516097,-0.373754655
0.758275927,0.616146158,0.061105398,-0.130958957,-0.749804842,-1.476914851,-0.666089606,-1.294354449,-1.131809211,2.952411179,2.924540503
-2.273282919,-0.865892236,-0.676851634,-1.806812688,-1.043339118,-0.857104854,2.656409563,2.280973334,-3.138970894,2.237254637,2.273348816
2.222651979,0.741750127,1.095131745,-2.685779969,-2.716784061,-0.180358439,-0.239008368,-0.371495316,-0.00574675,-2.742578745,-2.384922353
0.836497259,0.681913226,0.775548069,-1.179686652,-0.862395806,-1.068483658,-1.562343108,-1.134129736,-1.334464228,2.902998318,2.979570784
0.51238649,0.924161872,0.219686767,-0.385070469,-2.806496709,-0.474262555,-0.380956461,-0.33309695,-1.290814434,-2.968901711,-2.718114381
0.978121302,0.701528535,0.866503428,-0.329495098,0.637865463,-0.191271599,-2.045979164,-0.982123449,-1.693387988,-3.065650847,-2.951404337
0.663838701,-0.587738107,0.211805803,-1.034532712,0.325913738,0.357230182,-2.840972797,-0.42964571,-0.908161844,-3.00189049,2.977263632
0.213677206,0.100712253,-0.141123457,-0.492572972,-0.121716656,-0.954148428,-0.629799863,-0.263853858,-2.683027748,2.785991434,2.69947618
1.615903454,1.110747893,1.037879921,-3.08056909,2.601537477,-0.246952686,-0.502582198,0.173092661,-0.669853979,-1.944928328,-1.800754246
2.158697442,2.385583548,1.313063877,1.12592773,0.476743105,-0.084365108,-0.228603102,-0.29353076,-0.301098417,-0.014324522,-2.418764339
0.201617795,0.072546135,-0.013200065,0.320783498,0.454405793,0.62941773,0.439025871,0.45502574,-3.019644069,-3.025496112,-3.128233817
0.61672091,0.372966907,0.163478402,-0.544534411,-0.24990058,-0.618180766,-0.967911396,-0.366339118,-1.191361591,2.881645928,3.022311016
0.690806112,-0.036688325,0.664200954,-0.488442609,1.319700818,-0.543139107,-0.637055258,-0.706186887,1.718375673,3.087290239,-0.62749382
1.30996537,0.271667947,0.138372508,-0.752734726,0.051165082,0.187679425,-1.010623863,-0.762236037,-1.070671141,2.736774025,1.780572954
0.41409564,0.635364225,1.388871625,-1.027244567,0.96650547,-0.37869654,-0.530716748,-0.433664553,0.543232484,1.30416841,2.259898606
0.92510397,2.172764319,0.992445516,-0.132538445,0.103612631,-0.698460467,-1.014126253,-0.943717216,-0.95926901,1.753858477,1.779856211
1.293046098,0.19715994,0.891163512,-0.912257211,2.58248079,-0.68472172,0.391634282,-0.115293531,-0.148086694,2.944234813,1.542527583
1.436794788,0.048729532,0.126306756,0.102133647,0.514502108,-0.740308512,-0.692687654,-1.073202256,-1.590401326,-2.939592537,-3.014394478
1.528216248,0.390391087,0.901681759,-1.238391639,0.619602648,-1.020443479,-0.794779338,-0.467910864,-2.001942647,-2.926570655,0.422207614
1.191047586,0.986946525,1.056342778,-0.707745488,0.159245503,0.01561646,-1.142153447,-0.747089933,0.965100726,-2.568912892,2.676432331
1.384128999,0.40731836,0.62763742,-0.892864282,2.31098511,-0.123097333,-1.493718017,-0.591605506,-0.528232579,3.017554631,-0.185831048
0.556140878,0.558638741,0.269478786,-1.258664318,-0.035709688,-0.104198751,-1.942531908,-0.333966258,2.765926355,2.316904368,2.718168703
1.385775148,0.393320202,0.545273895,-1.093370575,-1.088244972,-0.193561111,-1.11984765,0.172841824,-0.003273024,-2.916183453,-2.8483288
