F3,Fz,F4,C3,Cz,C4,P3,Pz,P4,O1,O2
0.088243754,0.103702014,0.152217992,0.097686086,0.18848079,0.089345049,0.075370592,0.076340178,0.094058911,0.12455262,0.140824051
0.281907866,0.304998872,0.345989012,0.047431094,0.178957922,0.081808495,0.142660703,0.209814876,0.147461028,0.150525455,0.160702793
0.049115162,0.095266252,0.010920599,0.035058917,0.010153459,0.097781421,0.159069442,0.196063173,0.105096373,0.041190181,0.043823504
0.105737251,0.145237789,0.21862622,0.121131381,0.132993354,0.025144895,0.131738292,0.13097446,0.110363635,0.073505668,0.106938337
0.106886933,0.131056982,0.13919281,0.078325856,0.063123094,0.112285589,0.122236325,0.204475206,0.131787647,0.043001254,0.021562188
0.143421766,0.110825609,0.125386567,0.071091404,0.091161889,0.033822078,0.070581762,0.188816204,0.044109979,0.061411891,0.065098321
0.155627531,0.094899018,0.16713925,0.050441955,0.024586435,0.020526956,0.11498308,0.153177688,0.044091837,0.050134232,0.017466755
0.0513362,0.088278003,0.080019092,0.189075528,0.176483595,0.109676229,0.061937535,0.180806755,0.083523798,0.096589467,0.143789304
0.103916341,0.084286513,0.089518676,0.069032205,0.054631837,0.08569376,0.133758744,0.170132422,0.095769348,0.073958816,0.037004014
0.142199375,0.150377635,0.068981149,0.069189163,0.055063476,0.052779224,0.119760375,0.09988869,0.08991483,0.086192047,0.03817547
0.122973849,0.141961228,0.097942293,0.155964514,0.14324561,0.025037399,0.210294872,0.192849891,0.076720912,0.27902071,0.180600818
0.054611406,0.094918469,0.093168351,0.060462363,0.109299504,0.083172685,0.107987538,0.050005602,0.103555571,0.105703617,0.093521426
0.065536141,0.163387279,0.158833419,0.02487592,0.035949801,0.058809941,0.132638693,0.216552407,0.165494858,0.106698365,0.055464984
0.170432765,0.120694378,0.160067272,0.080520524,0.090419891,0.101149893,0.121670785,0.142664605,0.02710744,0.180059701,0.176325983
0.105870563,0.089854126,0.19154492,0.097590132,0.031809994,0.031805222,0.152948441,0.19877024,0.091715652,0.135666082,0.156766888
0.178882629,0.187284741,0.215612077,0.06822355,0.081114637,0.173652989,0.070103685,0.118464143,0.047073281,0.206786254,0.196526908
0.044337312,0.074146219,0.088368816,0.047158074,0.046618189,0.061815609,0.036858986,0.063611396,0.042383129,0.035920179,0.049883204
0.183716713,0.200674622,0.116321616,0.079847922,0.032936228,0.04089518,0.088228787,0.062924728,0.031262421,0.148361812,0.154054299
0.183812506,0.142275798,0.124135438,0.04901857,0.140845514,0.006604471,0.046352799,0.0347715,0.135162978,0.126874385,0.065589956
0.075166749,0.08103422,0.096565062,0.019211853,0.089851903,0.029767619,0.066709396,0.103535238,0.068497925,0.020483611,0.056561383
0.206547546,0.214514188,0.169691845,0.203577546,0.142596706,0.057502463,0.060109662,0.076594961,0.027014234,0.200603069,0.244295283
0.142399042,0.156095668,0.230311351,0.058060356,0.142194174,0.152935982,0.133812446,0.30065725,0.090901759,0.056074534,0.05083187
0.115376467,0.076575335,0.142579594,0.026007735,0.080044922,0.103118457,0.12091606,0.183257278,0.040771511,0.069306536,0.040528467
0.030512853,0.187106954,0.127249342,0.056408467,0.075958482,0.069714573,0.088705719,0.132978191,0.077345877,0.01622839,0.090393688
0.026737579,0.053518638,0.049281771,0.036140302,0.090413279,0.125934947,0.100622137,0.126266309,0.042549626,0.004213428,0.048854056
0.096651333,0.034583369,0.10975076,0.11191686,0.069281976,0.113144139,0.128656072,0.135365801,0.179706448,0.034343364,0.052333327
0.087546666,0.075000034,0.09975271,0.079443535,0.059258996,0.132640433,0.083948607,0.180879564,0.07915987,0.067875268,0.040746846
0.056549432,0.113427477,0.079923973,0.020821857,0.09947713,0.209310775,0.132261104,0.099370772,0.076070169,0.037022797,0.089704369
0.062573791,0.138164921,0.035413629,0.070114444,0.026105467,0.075982502,0.080973455,0.13648997,0.015505635,0.039055714,0.051389226
0.162215257,0.110989858,0.097183648,0.035951409,0.095557453,0.11801418,0.117464083,0.084743035,0.054623854,0.085086156,0.064141498
0.132262326,0.120962372,0.111742133,0.123260133,0.023433838,0.104093868,0.135793539,0.222060749,0.115229026,0.094612871,0.071092176
0.134983022,0.088295233,0.109932508,0.08778328,0.147351233,0.19546819,0.070828426,0.119579691,0.007807271,0.076506453,0.129831984
0.043508066,0.178082678,0.127468112,0.051349036,0.042799316,0.113035128,0.039196983,0.151786248,0.063796057,0.160170817,0.11205
