F3,Fz,F4,C3,Cz,C4,P3,Pz,P4,O1,O2
0.542123084,0.432465951,0.486612436,0.389324947,0.641955317,0.450611422,0.358294713,0.493741825,0.406098425,0.342548697,0.367867261
0.647936078,0.523589827,0.542344054,0.415722169,0.825201882,0.454766203,0.47229717,0.586248547,0.33994511,0.334670777,0.392488761
0.582783074,0.485301295,0.511811756,0.503463641,0.718373603,0.523955916,0.692180691,0.70655922,0.571666392,0.491274027,0.540298605
0.382889788,0.29547319,0.361872832,0.473197633,0.473588759,0.38886509,0.370077344,0.434502119,0.305138895,0.262883246,0.321772042
0.438731379,0.416583537,0.457327866,0.505750655,0.442714031,0.408732256,0.591670726,0.563661952,0.453469275,0.263083532,0.29479697
0.426779068,0.384265373,0.38817234,0.30891146,0.407114421,0.323910453,0.334211481,0.373140702,0.309612038,0.293273382,0.287965871
0.578361276,0.394768547,0.491642125,0.428404591,0.540383039,0.451692123,0.468647279,0.474824383,0.367880491,0.330368069,0.331031506
0.815702279,0.793356414,0.76413779,0.734099163,0.574131957,0.694011059,0.717443489,0.923945195,0.674957988,0.53216628,0.529547596
0.530427745,0.42006847,0.53714879,0.636682944,0.954876373,0.610215759,0.635817934,0.614869991,0.504824477,0.520707992,0.465168163
0.436747704,0.38919658,0.402456032,0.314329919,0.389613812,0.313197434,0.449853407,0.574998532,0.425686733,0.230568061,0.22931418
0.491086531,0.460782546,0.441375349,0.328393676,0.504841766,0.306156897,0.563744428,0.640988837,0.371521094,0.315686695,0.315340131
0.43661787,0.377747208,0.451714927,0.237555005,0.412473083,0.299072151,0.315115213,0.37235125,0.324407929,0.421151024,0.415223838
0.332473571,0.342849585,0.378262386,0.4546039,0.677814632,0.386564738,0.504049949,0.594171336,0.487625466,0.415875208,0.490411463
0.34073585,0.319095926,0.398456661,0.33955716,0.406135938,0.347874452,0.342772222,0.3951003,0.291149696,0.186863297,0.200722801
0.459015268,0.469079968,0.447163668,0.378286084,0.469627579,0.348303164,0.485437245,0.628456761,0.400883353,0.33709207,0.326801157
0.654404774,0.642347192,0.658736761,0.631865561,0.729690025,0.661613702,0.501613229,0.831051986,0.624241851,0.44445643,0.450693079
0.693106075,0.452031121,0.527757972,0.501738157,0.56866038,0.37565606,0.406159297,0.760638458,0.485509518,0.456546298,0.348375762
0.529912165,0.54431161,0.445234473,0.418476656,0.451463637,0.392335485,0.495408005,0.524151136,0.390125172,0.366523191,0.376130301
0.255191505,0.252074773,0.274905841,0.287747998,0.592973854,0.320832996,0.334015021,0.2720608,0.326120744,0.320632742,0.323047652
0.442845785,0.338070126,0.494467666,0.370624959,0.486442356,0.39144585,0.483650344,0.527530015,0.504197501,0.313150289,0.334816831
0.869480958,0.730302699,0.832956671,0.791213734,0.889387674,0.76142941,0.763545444,0.926356638,0.726072484,0.520825038,0.562184143
0.54305706,0.396628957,0.52001852,0.373393655,0.465211165,0.4188191,0.443066713,0.622774262,0.469087799,0.312955928,0.296289571
0.302173437,0.278598474,0.272845102,0.214694673,0.649115929,0.326858907,0.3046233,0.487140273,0.206187889,0.195082072,0.238474776
0.110845174,0.130555826,0.113413779,0.138165862,0.260494062,0.104337344,0.13307721,0.165784595,0.109347271,0.09989273,0.127059928
0.386559348,0.297104019,0.396655745,0.298206572,0.515942087,0.276184134,0.501011773,0.534899386,0.42795344,0.209251693,0.263595919
0.563566638,0.51183166,0.525480017,0.457641644,0.483206262,0.422847502,0.484641514,0.494338175,0.324980852,0.31998143,0.28997038
0.675699563,0.426913648,0.595612451,0.600854177,0.646139544,0.51036089,0.506089646,0.623563449,0.424690886,0.37480054,0.392984633
0.687569461,0.498993942,0.791572415,0.79196494,0.909406128,0.902889478,0.766020905,0.689224837,0.626407927,0.424873003,0.414401932
0.785434251,0.723334758,0.711544878,0.729205181,0.801974558,0.653035983,0.577960048,0.694005449,0.509857956,0.507680572,0.480754232
0.694578136,0.590317113,0.676102411,0.719318402,0.780309716,0.831143384,0.672732234,0.776005867,0.645804012,0.574822658,0.6525335
0.594697814,0.51391442,0.605650678,0.716285568,0.744429082,0.623091629,0.546824145,0.629879851,0.483021929,0.319618811,0.341830132
0.683074604,0.418775899,0.621746455,0.468210969,0.779087091,0.408083357,0.442382128,0.71133316,0.405983158,0.516201422,0.479596053
0.523193329,0.408016557,0.655804514,0.540116565,0.631108838,0.651177137,0.514154185,0.58447384,0.539482478,0.423139433,0.40866699
