F3,Fz,F4,C3,Cz,C4,P3,Pz,P4,O1,O2
-0.02200886,-0.216735305,0.274884236,-2.308591262,2.997585718,2.797515935,0.288815286,0.103560467,0.051789351,2.691583347,-2.700622544
1.783757492,1.131805125,1.379131696,1.915891207,0.589994316,1.215382395,-0.631027928,-0.314107993,-1.199869915,-2.554222477,-2.132479094
2.741494429,2.935374815,2.903616307,2.544555203,2.589919799,-0.922760733,0.645839745,0.743338013,-0.10909223,-0.596516959,-0.580168316
1.205242858,-0.12416561,0.888268333,-0.922360317,-0.60966953,1.39548724,-0.863092696,-0.600291328,-0.705534313,-0.429947995,-2.002630727
2.742463086,1.896548025,3.015641808,2.90404788,0.62274864,-1.54804837,0.048000736,-0.029956007,-0.19918901,0.599996265,-0.171961644
-1.11484742,0.043623038,0.285602527,2.902658593,-1.353255931,-2.307555875,0.249573843,0.591767901,0.430784308,2.113803734,-2.023804045
1.945611125,2.235011864,2.046319677,-2.922358785,-2.263894282,-2.851179534,-0.101389489,0.350289531,0.281102859,-0.001617132,0.36035596
3.034916351,0.96765247,1.058885203,0.310960123,-0.12051493,0.114249559,0.026825989,-0.056650332,-0.386499553,0.399080884,1.405422857
2.936427533,-1.301312061,1.717686065,-2.847640143,2.872101216,-2.833582826,0.168706316,0.459386223,0.157028069,-0.264495518,0.353900933
2.164341163,1.274747927,2.106339098,3.03103103,3.097587126,-1.283725706,-0.196362327,-0.023585918,-0.661979759,-0.185125717,0.122168353
1.747834116,1.323474877,0.734507972,2.448169258,1.569290992,0.620722745,-0.010169272,-0.213843697,-0.593999098,-1.693380406,-1.204766009
-1.297204717,-0.438756233,-0.591497863,-1.125640479,-1.765318009,-1.86667542,-0.037513615,0.915460843,0.422687231,2.236401504,2.261171785
1.731772334,0.824974664,1.95691236,-3.075314231,-2.973636015,0.37471781,0.368004891,-0.016080647,-0.088291524,-0.136511157,-0.374268085
0.668989533,0.589999918,0.235028948,-2.749334603,-1.37402837,-2.907209356,-0.482483583,-0.693097513,-1.129851705,1.948058118,-1.247690016
-0.540605278,0.983913649,0.67690466,-1.100939839,-1.575867711,-0.028931853,-0.45275883,-0.418462391,-1.095425299,1.08548007,1.443454601
0.855516132,0.4554847,0.553110021,1.24036479,1.991358331,1.037938212,-0.22536963,-0.414789475,-1.127516932,-2.13745192,-2.34447172
-0.395361144,-0.37555074,-0.336619525,-1.812089946,2.498170862,1.447181809,2.619546722,0.040669288,0.200408766,2.327445271,1.152836592
0.335958166,-0.044479327,0.797300729,-0.150726546,-2.082809035,-1.513426814,-0.108526974,-0.392635235,-0.202864172,1.463214542,0.653650081
1.459902386,1.845003127,1.937057764,-3.004940122,3.11036033,-3.013263727,1.417676733,0.219877844,1.067124748,0.075970387,0.296510842
2.176030125,0.481589091,1.222856715,-3.051779516,1.823917331,2.458791428,1.013613268,0.23387334,0.738490217,-2.630438156,-3.008670146
0.371454411,0.115831589,0.483430726,0.384672564,-0.065366093,0.831635579,2.132024553,0.650003514,-3.125464639,-3.065886193,2.995040765
0.605725668,0.236878682,0.038356206,3.107439024,-0.072539752,-0.060330369,-0.346715369,-0.238659369,0.398338137,-2.61814767,-2.374081013
1.821725737,1.993842519,1.743685208,-2.846310654,2.823703345,1.450906901,-0.095140275,-0.415780337,-0.288582851,0.356524883,-0.363919239
-0.045964509,0.450103885,0.180750799,-2.77142983,-1.688359861,-2.826484837,-1.973517258,-0.862891521,-2.001070885,0.302879177,0.378798171
-0.166693268,0.301215964,0.2424829,-2.209459894,1.766923403,-1.998741939,-0.833347276,-0.313538981,-0.178912461,1.544644831,1.596625575
0.945234295,1.136177076,1.56325491,2.910249964,-3.056756845,-2.974122209,0.043536984,-0.383295374,-0.326938522,1.692827561,1.179792314
0.635807784,-0.390624322,0.083663974,0.053810823,-2.4138443,-0.962020426,-1.27506174,-0.023484278,-0.467967517,1.406614825,0.595204182
1.494462708,0.409072901,0.801714344,-1.663472922,0.685555006,2.838366103,-0.28814395,-1.020208473,-0.500931716,-0.125746724,0.737231777
0.944801947,0.495294069,0.973039944,2.87761282,1.815587276,1.56935399,-2.567169339,-0.435682626,0.753884976,-1.577519788,-0.160758036
1.579220187,1.117048956,1.501083363,-2.210323837,1.103525159,-1.990381012,-0.477329666,-0.373830763,-0.572901177,1.296313856,-2.003914927
0.885794979,0.279762548,0.772345397,2.759342442,2.830364616,1.680905291,-1.200862294,-0.26664421,0.896736556,-2.272831549,-2.336401063
0.445480665,0.492001519,2.062240619,-2.7111473,1.286113199,-0.052324786,0.115644146,0.419256724,-1.17939667,-2.101564524,-1.081811664
0.537431665,0.120375515,0.379552008,3.120255642,3.11931457,-1.482083865,-0.543411202,-0.632085751,-0.598721705,0.780437118,1.222436896
