F3,Fz,F4,C3,Cz,C4,P3,Pz,P4,O1,O2
0.068826945,0.12347334,0.05961425,0.043389578,0.066226902,0.02753487,0.013007557,0.029706352,0.048753367,0.039655674,0.029005228
0.163513844,0.145545437,0.087262236,0.019514109,0.132044404,0.033160958,0.068686651,0.153756884,0.03779857,0.051021838,0.082291483
0.083834678,0.075141759,0.039158344,0.056634066,0.095506888,0.011510221,0.142848128,0.176169179,0.107975401,0.054971037,0.092485682
0.070229569,0.075433211,0.047699684,0.06787023,0.068570341,0.021084638,0.007078651,0.106400719,0.037495639,0.026469662,0.043261219
0.0598302,0.052025325,0.099032696,0.038290188,0.073683678,0.000629202,0.132181364,0.171184553,0.07899247,0.03174928,0.019620849
0.018897588,0.042321724,0.029173368,0.015705484,0.002674177,0.057231773,0.054118207,0.070423502,0.041438053,0.004743402,0.035324257
0.01730376,0.023515766,0.052031868,0.048493103,0.015774873,0.019763574,0.00813721,0.067519612,0.046114151,0.017665869,0.02907863
0.029185136,0.07069268,0.074642158,0.027014424,0.079205959,0.093213224,0.050146783,0.189800094,0.087399322,0.016347504,0.024314049
0.038864086,0.023564022,0.043620714,0.040157588,0.100220945,0.026379948,0.05374294,0.107057698,0.09958236,0.057513714,0.060291704
0.095861056,0.078039323,0.053796199,0.031462879,0.059437377,0.032026538,0.08366702,0.163695678,0.062730077,0.060555432,0.081346547
0.110079615,0.166227489,0.07698813,0.023828076,0.125281217,0.01892513,0.130851517,0.159473481,0.10390381,0.070876545,0.096646736
0.124187506,0.033451453,0.136067307,0.056509734,0.076356778,0.051344073,0.018338717,0.047596907,0.040025982,0.068347731,0.083989076
0.069588297,0.046424499,0.059356756,0.059699167,0.045412626,0.007164572,0.092708847,0.15171335,0.112095874,0.063281685,0.071289932
0.083409176,0.060518769,0.083491387,0.028526595,0.016411752,0.035967033,0.063257277,0.089767516,0.022715009,0.008265458,0.02062481
0.052100885,0.050954885,0.057097771,0.024143869,0.051589466,0.008147651,0.136268459,0.201432987,0.079364571,0.019006683,0.035608211
0.125359597,0.124590865,0.124730469,0.036634055,0.06825799,0.051201293,0.042222168,0.107750693,0.053627761,0.067200036,0.079805457
0.067695251,0.143900722,0.082694209,0.023586992,0.043030735,0.016691111,0.019201708,0.077396076,0.043341194,0.029115018,0.033259944
0.076842123,0.137537813,0.075915955,0.016252177,0.019303139,0.054630809,0.080072684,0.120132049,0.049313223,0.024925414,0.067370159
0.051041278,0.038727863,0.065765421,0.077057525,0.121363371,0.113349627,0.045636867,0.014036114,0.025464196,0.123884273,0.145855215
0.011307757,0.07187399,0.08104535,0.024233753,0.067982403,0.043448062,0.081061634,0.108953395,0.116298203,0.071374397,0.044713464
0.139688818,0.215189139,0.089307587,0.076365559,0.096085506,0.019339744,0.064552236,0.026140595,0.020190327,0.149178909,0.15558114
0.101446839,0.112126792,0.163829611,0.011275485,0.041302759,0.047222295,0.068274039,0.172016838,0.069820112,0.048713459,0.050401168
0.067798224,0.042911224,0.025280769,0.046987958,0.081463622,0.023104459,0.039278038,0.087050391,0.056723885,0.050064034,0.061155653
0.062834341,0.076724258,0.05148414,0.044789389,0.050139728,0.071488323,0.043717644,0.116706303,0.048439282,0.048172578,0.10815387
0.07385855,0.101243216,0.078673995,0.051547922,0.015325713,0.128264936,0.034257485,0.098626019,0.042491219,0.029405143,0.033627919
0.056747776,0.034613966,0.050811341,0.027591026,0.029167388,0.044557531,0.056249756,0.051229809,0.055799325,0.069143449,0.031118695
0.06982465,0.121929834,0.082562254,0.049979281,0.066782614,0.068850719,0.027240728,0.119515758,0.063302958,0.025115671,0.048916997
0.083925828,0.06377469,0.0773777,0.028150168,0.051969543,0.011236707,0.105884819,0.113754669,0.072952966,0.019591612,0.028704484
0.075688348,0.158240016,0.090823177,0.044032028,0.041649093,0.046408088,0.007884249,0.082913105,0.062208922,0.037333752,0.047467674
0.097524686,0.15556218,0.122424974,0.022462104,0.033936766,0.053620418,0.026351701,0.07440195,0.134373465,0.044107251,0.018773687
0.13337515,0.083599517,0.179556984,0.067892094,0.071732424,0.072435859,0.04397028,0.112852215,0.033317433,0.01576003,0.03711332
0.100535022,0.125353507,0.040183621,0.006100354,0.050157411,0.02556747,0.062178538,0.106452041,0.046443833,0.067642808,0.050638524
0.090787484,0.089612927,0.166754405,0.035706167,0.084399479,0.056551188,0.057821635,0.141983874,0.08998072,0.030547003,0.0567823
