ch_n2,ad_n2,ch_n3,ad_n3
13.48435814,21.9348659,60.1584022,75.0492126
21.41982864,17.74107619,75.18536826,81.98594025
13.36683417,13.36866902,52.70167428,53.19792567
30.52926744,18.13768756,74.66174662,78.47593583
20.88525999,17.79898933,74.44228904,81.90184049
13.84062313,32.84518828,70.25621983,81.7989418
20.97868217,17.56212223,61.75406872,69.53441296
14.46000904,18.68131868,75.5259467,83.12757202
19.11460488,21.23169681,54.27241963,67.64509673
17.11330512,25.82742317,77.12676056,85.6122449
21.66233766,41.66666667,80.77922078,81.92446043
32.66369048,36.84863524,77.51299827,80.84232152
10.77116513,16.74823274,49.7824195,70.42502952
12.28070175,26.07463392,66.5625,77.35849057
39.59025471,26.37681159,80.8393153,77.03943814
35.10283491,12.36424394,80.74944893,63.24251898
13.1857071,31.71395258,73.68922784,82.40534521
25.63393269,11.05,75.19668737,63.20064988
22.89719626,22.78617711,77.82477341,77.62237762
25.62417871,16.89750693,67.60312945,63.00377834
24.12993039,13.91398627,79.82089552,66.55780536
17.05494505,9.675645959,60.24498886,60.56745802
33.17399618,13.95881007,75.55012225,68.96301668
27.59578012,18.45957989,79.54729184,72.94281729
21.4379085,28.03532009,74.11764706,61.66902405
28.46362813,40.79241071,75.33606078,82.26872247
18.98245614,14.02142162,77.96610169,72.85559175
31.43326939,23.12818503,81.66127292,75.97535934
17.60078663,8.272506083,77.86768206,69.95708155
30.55675442,25.92720971,85.04273504,84.3597263
29.584866,27.28819326,78.52216749,87.39946381
34.34266002,20.98191214,85.13011152,83.50515464
23.74862989,19.97232472,78.36624776,80.2173913
