Electrode,rho_baseskillchange,p_baseskillchange,rho_slopechange,p_slopechange
F3,0.483129143452680,0.137515720341648,0.424389116079650,0.216340432481751
Fz,0.351686068595106,0.349480933594867,0.321275982846002,0.415881387405532
F4,0.650200080543229,0.0275029713714248,0.601104934250110,0.0463617410213900
C3,0.0771114501060587,0.950713528413459,0.103816243617157,0.912459657255574
Cz,0.319351630613469,0.420262213861973,0.248919026546798,0.590570774626845
C4,0.434444118197752,0.201029346194744,0.325069987402132,0.407302461034589
P3,0.327243947092788,0.402422354935355,0.126190757272898,0.873405874989632
Pz,0.535553648260152,0.0873396676303826,0.530169614443353,0.0917049912795448
P4,0.414368261733687,0.232361953466662,0.348339979191629,0.356508819830110
O1,0.612502752751735,0.0412189660269096,0.317484809677420,0.424530622851571
O2,0.213028974245246,0.679946321513990,0.194996978848311,0.723827275391685
