retention,F3,Fz,F4,C3,Cz,C4,P3,Pz,P4,O1,O2
15.2,0.045000374,0.034603172,0.084680528,0.163625625,0.129403694,0.08853932,0.212900364,0.187751292,0.06625822,0.018980438,0.116943265
13.4,0.141463582,0.055750798,0.139575267,0.171228332,0.200495544,0.146075246,0.23787498,0.231284802,0.195075178,0.209022212,0.188919993
-5.2,0.156372313,0.138507627,0.209677811,0.073135562,0.064530881,0.090540333,0.105987822,0.140459257,0.034576078,0.096530794,0.087935072
6.6,0.161949105,0.174203725,0.093131741,0.220768431,0.189868667,0.139911627,0.13015438,0.081609441,0.018275243,0.226221878,0.049849623
12.6,0.197264677,0.093543953,0.136508379,0.110672499,0.015493184,0.194977373,0.170747638,0.140406115,0.15840983,0.137384917,0.145453239
-1,0.218261436,0.252283161,0.268503263,0.088106556,0.201118792,0.18894138,0.154876033,0.126589816,0.201865135,0.095895649,0.089811484
-3.4,0.136347147,0.007411298,0.166531743,0.246915201,0.101477616,0.135817182,0.069978891,0.143636714,0.009253474,0.156103762,0.151580185
-16,0.201697035,0.054106909,0.240294704,0.174648854,0.097454587,0.038398989,0.181612783,0.177645645,0.174456129,0.095043887,0.119496983
2.2,0.088134456,0.111326387,0.234888395,0.076088573,0.07129887,0.115254571,0.143070422,0.159468119,0.055300949,0.213893673,0.137303894
-7.6,0.222751379,0.096256659,0.08815775,0.042234885,0.041910649,0.118516231,0.106846219,0.140529234,0.120275071,0.124438451,0.254501188
37.8,0.182486836,0.246792462,0.244611922,0.166353134,0.297433307,0.284909801,0.12924636,0.228988414,0.023537275,0.126684916,0.128004138
12.6,0.148630173,0.176121857,0.212908234,0.068498218,0.159690267,0.193163092,0.273348453,0.361449897,0.350258664,0.057724877,0.067383058
2.6,0.124872198,0.169227822,0.154126909,0.221782796,0.194927998,0.158001497,0.149958991,0.171625007,0.040810498,0.184499698,0.242895666
-23.4,0.087997275,0.166979929,0.238858939,0.130340331,0.057054488,0.115545123,0.087504579,0.083073428,0.001487546,0.046501293,0.253651552
7.8,0.143431572,0.27373213,0.138930324,0.110412584,0.1812779,0.180008424,0.110396427,0.089004334,0.100879248,0.116651259,0.24782737
-1,0.078215636,0.109530833,0.07755274,0.079730024,0.094452259,0.13356167,0.126115843,0.299718627,0.183184679,0.053485717,0.061328207
1,0.050328669,0.053861744,0.093811593,0.186097166,0.12552483,0.114218651,0.189378877,0.337598595,0.198266709,0.029341538,0.088441944
-8.8,0.232240047,0.243436932,0.278416267,0.089635143,0.168178484,0.140380701,0.093999675,0.194814313,0.203391618,0.181562141,0.16773071
8.4,0.154697147,0.09741029,0.175736088,0.189286088,0.237343469,0.055609458,0.162056441,0.142241123,0.103513892,0.03912206,0.07701547
-9.2,0.164911976,0.18521569,0.198370916,0.14050158,0.037356191,0.080811929,0.156136875,0.159168946,0.14898735,0.117532078,0.162867054
-6.6,0.073527346,0.097677618,0.096905295,0.081527837,0.042676002,0.149291133,0.053555997,0.034853148,0.107367191,0.054468446,0.11013072
-11.4,0.199387457,0.142399083,0.080216964,0.094757352,0.154302419,0.128862187,0.121332635,0.097175998,0.080557189,0.043932462,0.049681226
2.6,0.138468064,0.19741869,0.220775611,0.170196184,0.15049996,0.103919913,0.090980346,0.113012303,0.077808857,0.123175572,0.146970904
-13.6,0.092335297,0.323496876,0.18984591,0.174131309,0.156015929,0.140077281,0.070676338,0.178252896,0.083923873,0.036243006,0.124629519
-53.2,0.206572689,0.028161745,0.085904068,0.159473287,0.166459033,0.099161711,0.247084593,0.201177259,0.290433033,0.299850219,0.394105141
