Sub;Channel;Count;Density;Duration;Amplitude;RMS;AbsPower;RelPower;Frequency;Oscillations;Symmetry
OL_01;C3;14;0.774739079;0.792857143;60.87314849;12.38516651;2.042783477;0.31540283;13.30335274;9.928571429;0.514227007
OL_01;C4;12;0.664062068;0.7475;47.40038573;10.22423974;1.893863959;0.319913372;13.82843567;8.75;0.419163016
OL_01;Cz;8;0.442708045;0.90875;69.87128133;14.47155202;2.220836803;0.317001733;13.9463226;11.375;0.383522647
OL_01;Fz;13;0.719400573;0.663692308;57.25224374;12.8680095;2.124414776;0.300217142;13.1556889;8.076923077;0.382209655
OL_01;Oz;2;0.110677011;0.697;51.59384884;10.51715836;1.956525669;0.27498305;13.27926693;8.5;0.667313916
OL_01;Pz;15;0.830077585;0.788133333;60.20630319;12.82185124;2.107299677;0.320557006;14.23283713;9.933333333;0.360068018
OL_02;C3;97;5.46541995;0.999886598;54.58651648;11.66211447;2.091100751;0.41816552;13.91769322;13.16494845;0.532557786
OL_02;C4;108;6.085209841;1.008398148;55.53842495;11.89517864;2.122205271;0.416808528;14.17488264;13.73148148;0.499939378
OL_02;Cz;109;6.141554377;1.072743119;83.83869717;17.69598356;2.462128627;0.4557394;14.25148554;14.64220183;0.493125043
OL_02;Fz;81;4.563907381;0.952506173;66.03786401;14.19567727;2.273405661;0.409285703;13.71483927;12.4691358;0.50430335
OL_02;Oz;33;1.859369674;0.780212121;40.21059651;8.652208797;1.768315915;0.328105387;14.19691214;10;0.501365771
OL_02;Pz;101;5.690798092;1.007623762;70.48842191;14.91314582;2.310040467;0.424578515;14.26036048;13.81188119;0.51415584
OL_03;C3;35;1.90358781;1.151428571;68.80100166;14.75029008;2.268169862;0.411421275;13.85954354;15.22857143;0.495296078
OL_03;C4;33;1.794811364;1.014636364;65.6727173;13.86069209;2.216292164;0.415520377;14.05687005;13.39393939;0.525825323
OL_03;Cz;33;1.794811364;1.119333333;99.98645156;20.69480243;2.54991951;0.434328413;14.10016024;14.78787879;0.496091978
OL_03;Fz;34;1.849199587;1.113735294;84.80645469;17.77282754;2.394706717;0.404382979;13.62479257;14.55882353;0.481370558
OL_03;Oz;17;0.924599793;1.018058824;60.09568989;12.31896232;2.172159458;0.41179347;14.4513161;12.88235294;0.578950499
OL_03;Pz;39;2.121140702;0.983076923;79.55668949;16.71086232;2.439049791;0.449315012;14.46023486;13.23076923;0.530400097
OL_04;C3;132;4.66325362;1.051893939;72.14719645;15.26594801;2.359983816;0.491402389;13.48681192;13.71212121;0.508216315
OL_04;C4;134;4.733908978;1.159813433;69.99674843;14.53829029;2.288277895;0.477894523;13.65314108;15.1119403;0.51842073
OL_04;Cz;135;4.769236657;1.073777778;83.43452564;17.83605741;2.491186812;0.491063968;13.89663185;14.33333333;0.484141482
OL_04;Fz;126;4.451287547;1.015968254;90.82108218;19.58002741;2.55376106;0.458729278;13.37192261;13.08730159;0.50237051
OL_04;Oz;72;2.543592884;0.916458333;43.82216518;9.147181024;1.849617554;0.367287369;13.73833893;11.76388889;0.547341399
OL_04;Pz;133;4.698581299;1.071037594;71.20603301;15.27737129;2.37643502;0.507356953;13.89893356;14.34586466;0.507528731
OL_05;C3;72;3.395724531;1.040347222;43.55470486;9.163585931;1.845737878;0.39348449;13.15242473;12.70833333;0.524663048
OL_05;C4;71;3.348561691;1.037352113;42.82757682;8.967549691;1.784824618;0.348494374;13.28404154;12.54929577;0.488166057
OL_05;Cz;73;3.442887372;1.081410959;54.49920835;11.42345025;2.048778585;0.402703528;13.19127376;13.52054795;0.487411417
OL_05;Fz;82;3.867352938;1.015182927;66.0154465;14.06619405;2.205364865;0.360561482;13.09574139;12.29268293;0.522917032
OL_05;Oz;19;0.896093974;0.853684211;31.54626682;6.493284183;1.473715682;0.298395016;13.32647533;10.15789474;0.548947354
OL_05;Pz;83;3.914515779;1.108903614;44.39245093;9.214239777;1.868290662;0.401142752;13.21905753;13.85542169;0.517589748
OL_06;C3;46;1.114113926;0.992891304;48.25571841;10.3597043;1.932211417;0.332549101;13.10550075;12.63043478;0.471613923
OL_06;C4;54;1.30787287;1.017;51.29618572;10.77828621;1.978573181;0.33135474;13.14230628;13.03703704;0.468576306
OL_06;Cz;80;1.937589437;0.9754875;65.79568773;14.21881928;2.235991559;0.336813801;13.14353715;12.4875;0.471439744
OL_06;Fz;51;1.235213266;0.99545098;68.34825424;14.46377565;2.266933122;0.348044053;13.07955398;12.58823529;0.508611796
OL_06;Oz;6;0.145319208;0.806666667;32.15038169;6.967272671;1.58483267;0.315505406;13.06642574;10.33333333;0.407675711
