mean_vector_length;preferred_phase;Subject;Channel
0.992637428;0.180567063;OL_01;Fz
0.994286901;0.169257356;OL_01;Cz
0.996627118;0.136377519;OL_01;Pz
0.996127826;0.13119285;OL_01;Oz
0.995129669;0.138458376;OL_01;C3
0.997040801;0.13147116;OL_01;C4
0.988611821;0.264762029;OL_02;Fz
0.967902526;0.424877515;OL_02;Cz
0.987547307;0.310064095;OL_02;Pz
0.998090794;0.132810331;OL_02;Oz
0.991472336;0.216672191;OL_02;C3
0.988430189;0.253801459;OL_02;C4
0.984177488;0.21395582;OL_03;Fz
0.983729552;0.239962486;OL_03;Cz
0.987283133;0.196011859;OL_03;Pz
0.997755619;0.10827845;OL_03;Oz
0.991058985;0.177637198;OL_03;C3
0.991742713;0.158451254;OL_03;C4
0.969126672;0.337890868;OL_04;Fz
0.973289201;0.343793185;OL_04;Cz
0.976514487;0.333901676;OL_04;Pz
0.996115512;0.138491156;OL_04;Oz
0.985978209;0.277780347;OL_04;C3
0.978211197;0.310818122;OL_04;C4
0.99039628;0.236095089;OL_05;Fz
0.995927726;0.158404363;OL_05;Cz
0.996992985;0.157353433;OL_05;Pz
0.998502981;0.102664586;OL_05;Oz
0.995732375;0.139765595;OL_05;C3
0.996017031;0.143948398;OL_05;C4
0.988066745;0.268151025;OL_06;Fz
0.987150557;0.251030334;OL_06;Cz
0.992971672;0.201789185;OL_06;Pz
0.999224833;0.090076798;OL_06;Oz
0.993949552;0.158791743;OL_06;C3
0.994685716;0.180414021;OL_06;C4
0.98740027;0.256090747;OL_07;Fz
0.984462439;0.290693942;OL_07;Cz
0.992499746;0.195609327;OL_07;Pz
0.998662582;0.092552666;OL_07;Oz
0.994595632;0.183615026;OL_07;C3
0.99363924;0.213977909;OL_07;C4
0.986598538;0.287561056;OL_08;Fz
0.989963712;0.253172532;OL_08;Cz
0.993768731;0.185938659;OL_08;Pz
0.996466138;0.130019596;OL_08;Oz
0.994046688;0.188580217;OL_08;C3
0.989941432;0.225018125;OL_08;C4
0.990905759;0.145160687;OL_09;Fz
0.998562756;0.145851922;OL_09;Cz
0.99845059;0.095151307;OL_09;Pz
0.999301423;0.077724534;OL_09;Oz
0.998260703;0.113305937;OL_09;C3
0.998387247;0.124131584;OL_09;C4
