subID,retention,Fz_n2,Fz_n3,Cz_n2,Cz_n3,Pz_n2,Pz_n3,C3_n2,C3_n3,P3_n2,P3_n3,P4_n2,P4_n3,C4_n2,C4_n3
1,90.06642433,56.43119522,58.91414767,55.64852459,55.05425689,53.50472558,47.66650462,46.47096633,47.05441508,43.25854498,38.23832006,32.27754073,30.20913808,35.49689974,35.69610586
2,39.16573449,86.22631723,108.2430266,69.01921066,67.87981806,53.09000419,58.33344548,56.10994553,58.38655191,54.32822131,54.33422155,52.08546991,53.20575398,60.76718093,63.04833905
3,3.210978093,56.26634576,53.20363821,66.71628074,53.62202559,54.86335522,49.70823099,47.33000932,42.27239748,43.22400066,37.89419213,40.69743592,36.6165114,43.89096143,40.74995422
4,5.505949693,55.91285592,62.10482592,70.15174854,59.56596257,59.75140083,54.10177853,50.6148644,45.63095076,41.50992054,40.82838764,44.91078406,43.51231496,55.13465401,46.84290335
5,77.25894937,64.6874087,64.03477702,82.14198425,69.77963623,70.33798696,61.80166079,51.31230937,48.69637825,52.44221581,50.61247156,40.38939919,37.31188065,49.2003219,47.16022844
6,73.12414713,67.58326991,76.91899688,78.96205505,80.71209748,61.14782133,62.52873217,50.58515481,52.69973273,49.83665399,52.77011109,41.36059233,43.34509811,49.32916272,49.44229587
7,100.4565844,75.57332718,79.14970889,67.00344372,74.32415438,57.89692585,61.6931846,55.41195579,59.63953091,52.27652883,55.52073055,40.67394928,48.05520306,46.60989969,51.0856431
8,52.72693363,65.8839785,64.61974272,65.92557549,62.12547271,60.44412119,57.73501168,53.00594367,52.61478271,47.7850081,46.22337362,46.76650489,41.75065515,53.34924197,50.877854
9,45.91722285,139.1266431,152.8791548,111.8013243,125.3605036,81.88206056,83.70819252,95.50870619,111.9817232,71.44836111,83.41585361,63.15970139,68.3500263,86.25180282,99.42487694
10,72.53626287,58.0152335,64.70584323,62.82233403,61.43774904,58.60421939,55.49765856,48.9024055,49.56556825,43.65999267,43.70062716,44.11259527,41.93606647,51.80215182,49.80989636
