subID,retention,Fz_fastn2,Fz_fastn3,Fz_slown2,Fz_slown3,C3_fastn2,C3_fastn3,C3_slown2,C3_slown3,Cz_fastn2,Cz_fastn3,Cz_slown2,Cz_slown3,C4_fastn2,C4_fastn3,C4_slown2,C4_slown3,P3_fastn2,P3_fastn3,P3_slown2,P3_slown3,Pz_fastn2,Pz_fastn3,Pz_slown2,Pz_slown3,P4_fastn2,P4_fastn3,P4_slown2,P4_slown3
1,90.06642433,22.22222222,50,16.12903226,46.25407166,27.27272727,36.61971831,15.625,36.88212928,11.36363636,29.72972973,18.75,37.78801843,10.52631579,37.5,19.23076923,39.90384615,6.25,39.04761905,7.547169811,30.82191781,6,30.3030303,11.11111111,32.72727273,7.142857143,25.75757576,8.333333333,37.03703704
2,39.16573449,35.71428571,25,23.63636364,26.08695652,6.451612903,29.41176471,10.44776119,32.36714976,17.24137931,28.84615385,13.15789474,24.5398773,12.5,20,12.28070175,24.61538462,2.43902439,33.33333333,8.196721311,18.05555556,9.090909091,37.5,14.89361702,25.94936709,12.19512195,32.3943662,11.42857143,35.25641026
3,3.210978093,9.523809524,31.03448276,15.90909091,32.58426966,3.846153846,29.38388626,11.86440678,32.99319728,17.39130435,32.01754386,12.90322581,34.55284553,18.75,28.90625,15.47619048,30.25830258,3.571428571,29.50819672,9.87654321,36.8852459,19.04761905,42.25352113,12.90322581,36.09756098,23.52941176,37.5,8.24742268,33.33333333
4,5.505949693,0,18.9655,7.93651,27.4725,3.07692,30.2326,8.33333,24.026,3.8961,23.4783,10.9375,32.2368,1.92308,27.381,9.23077,32.1212,1.17647,31.5385,10.3448,22.695,2.35294,30.719,8.88889,25.5814,0,30.7692,11.2676,19.1489
5,77.25894937,12.19512195,24.44444444,18.60465116,35.71428571,3.703703704,45.76271186,13.25301205,25.71428571,14.92537313,25,8.064516129,33.62068966,8.064516129,26.31578947,12.98701299,33.75796178,3.157894737,34.96503497,6.666666667,25,5.747126437,33.60655738,4.651162791,25.92592593,5.747126437,26.43678161,6.756756757,28.42105263
6,73.12414713,10,24.67532468,18.96551724,36.50793651,13.79310345,26.31578947,21.42857143,43.75,7.476635514,26.66666667,22.58064516,37.5,11.2244898,34.28571429,22.53521127,33.33333333,10.32258065,37.42331288,21.42857143,31.03448276,14.4,38.25503356,0,50,10.81081081,38.46153846,15.55555556,33.33333333
7,100.4565844,30,35.29411765,15.15151515,32.32044199,15.38461538,33.05084746,9.090909091,26.84563758,8.333333333,29.31937173,7.692307692,25.43103448,9.090909091,31.52173913,12.12121212,28.76712329,0,40.7079646,3.333333333,27.17948718,4.761904762,29.55974843,4.545454545,29.41176471,0,34.32835821,2.5,28
8,52.72693363,10.76923077,43.63636364,28.30188679,33.77192982,6.52173913,25,18.07228916,37.79069767,11.11111111,26.85714286,30,31.53846154,6.666666667,30.8411215,21.59090909,26.47058824,7.2,29.5154185,5.882352941,28,10.83333333,31.2195122,18.75,32.0754717,3.50877193,32.82051282,11.94029851,29.47368421
9,45.91722285,0,0,26.08695652,38.19095477,12.5,27.27272727,12,35.16483516,18.18181818,5.555555556,10,32.41758242,0,25,16.66666667,33.14285714,10.52631579,38.88888889,16,31.41025641,4.761904762,26.31578947,11.76470588,33.98058252,10,25.92592593,12,34.14634146
10,72.53626287,6.578947368,35.18518519,13.75,34.19117647,8.620689655,47.19101124,17.85714286,40.81632653,8.602150538,41.56378601,12.72727273,33.60655738,6.666666667,45.18072289,18.75,33.16326531,13.36633663,45.16129032,17.56756757,45.07042254,9.574468085,49.09747292,13.15789474,28.57142857,12.8342246,42.30769231,15.73033708,49.36708861
