subID,retention,Fz2fast,Cz2fast,C32fast,C42fast,Pz2fast,P32fast,P42fast,Fz2slow,Cz2slow,C32slow,C42slow,Pz2slow,P32slow,P42slow,Fz3fast,Cz3fast,C33fast,C43fast,Pz3fast,P33fast,P43fast,Fz3slow,Cz3slow,C33slow,C43slow,Pz3slow,P33slow,P43slow
1,90.06642433,2.57136992,-2.908731117,0.757608083,1.481715927,0.64703449,0.199536121,0.693742772,1.383997395,-0.964586608,2.482077801,1.928907992,1.356545066,1.377657972,2.104629691,1.775831626,0.167293057,0.439104402,2.550747688,0.262350904,0.238829649,0.416916137,1.881649815,-1.521519491,-2.419661424,0.835340907,-0.327922216,1.079065869,0.487304635
2,39.16573449,-1.919572632,0.826658147,1.136113663,0.137431737,0.8,1.591025555,0.662670958,-1.09127631,2.112993913,2.165149752,-0.149721651,0.280435934,2.670789794,1.797574391,1.91081941,0.716906519,0.628907333,0.444340438,2.716405444,0.167452111,0.550106103,2.892239793,3.139208137,0.171922415,2.824361929,1.051575937,2.136153549,1.124112267
3,3.210978093,-1.998139275,-0.219196478,0.65,1.100301447,-0.288924152,-1.242317905,1.422695821,-1.68046994,-0.177347808,2.240781589,0.472131139,0.351776039,-0.23001407,0.546172953,-0.181347969,-0.062031228,0.094668314,-0.239217087,0.001523565,-0.072055049,0.041967715,0.880926311,0.069960153,0.378023266,0.387752263,0.015586556,-0.334095565,-0.049939329
4,5.505949693,0.775041963,2.709309853,-2.891239537,-2.992601524,0.870951659,0.568659183,1.192541208,2.698125258,1.538324549,2.202365398,2.092667431,0.299987218,-0.391628009,0.584611199,0.572593299,0.451752186,0.253694004,-0.125521727,0.1731688,-0.120981504,0.639283673,1.383194654,-0.01848964,1.928527734,0.190739202,0.317980538,0.113192442,1.129404413
5,77.25894937,1.203531401,-0.789146654,0.216053042,1.05163503,1.908826259,-2.407827269,1.150875041,0.762649213,1.35038192,0.551616235,-1.155707305,-1.502671864,-1.836297766,2.931791723,0.574786262,0.099128117,-0.401540854,1.972185418,0.020298627,0.246617478,0.568292068,0.335260777,-0.486678283,1.166483244,2.156064902,-0.665483793,0.071877896,0.860910363
6,73.12414713,1.769112901,0.994132637,0.48408313,1.122824609,0.16082463,0.523693584,0.425468332,-0.500315611,0.505349599,2.571521204,2.408900514,-1.942785837,-1.508739534,2.231362892,1.412059527,0.615961001,0.809441284,-0.238082026,0.281999408,0.144860807,-0.296331804,1.917640974,0.900042334,1.988102067,1.759416607,0.310708719,0.38589875,-0.481684082
7,100.4565844,1.41287455,1.899459991,1.613144331,2.741782827,0.772479481,0.772479481,0.772479481,2.530886152,2.321709641,2.905259343,1.601334827,0.528073355,2.060285019,1.679417342,1.023081086,0.65819712,0.648605206,0.190417187,0.202428722,0.16704862,-0.383891408,0.82927801,2.787285578,-3.061121189,-0.114431905,0.914200955,0.74240685,-0.744827976
8,52.72693363,1.040573952,-0.705551644,0.651640888,-0.215672773,0.096712987,-0.53422244,0.39891286,-1.104614134,-0.393571604,-1.305011387,-1.609450517,3.111762438,0.624818524,2.516365062,0.773709075,-0.332530487,-0.605304343,0.102452298,-0.500242107,-0.150714758,-0.67016797,1.041067115,0.394412726,0.420979777,1.514292844,-0.714053223,0.198010528,-0.131718401
9,45.91722285,1.21,0.215240345,1.200958662,-2.414694582,2.265935229,1.203328545,0.585344336,-1.431289689,2.576118869,-3.045722873,0.437298926,1.590221888,2.568016788,2.800725824,,0.250168742,1.844521489,0.827677312,-0.220515936,0.510691552,1.237374237,2.122294702,2.358601283,2.164766218,2.210513267,0.649904432,1.164589078,0.76622347
10,72.53626287,1.914923303,1.914237499,0.207921616,-1.366887483,-0.245663295,0.718053203,0.196212364,-1.596755676,-1.708912861,1.700008451,-1.910558535,0.912936261,0.930609404,2.57213269,1.218152855,0.191763172,0.488026749,0.077621856,-0.167206056,-0.029282535,-0.187089023,0.371759808,-0.866492484,-0.36757637,-0.955898553,-0.821180107,-0.146415913,-0.486374426
