subID,retention,Fz2fast,Cz2fast,C32fast,C42fast,Pz2fast,P32fast,P42fast,Fz2slow,Cz2slow,C32slow,C42slow,Pz2slow,P32slow,P42slow,Fz3fast,Cz3fast,C33fast,C43fast,Pz3fast,P33fast,P43fast,Fz3slow,Cz3slow,C33slow,C43slow,Pz3slow,P33slow,P43slow
1,90.06642433,0.647707662,0.144812342,0.601410381,0.059776866,0.465520024,0.853191596,0.182562031,0.077908788,0.573457624,0.460246689,0.24791249,0.175404484,0.56947353,0.06136323,0.123250134,0.047427874,0.189882094,0.150090719,0.23947279,0.37614902,0.144802473,0.041214732,0.164424105,0.01226211,0.082461866,0.111108386,0.161574757,0.035072044
2,39.16573449,0.568012526,0.242985535,1,0.42307541,0.91,1,0.835909026,0.207631388,0.331820037,0.384399987,0.37084189,0.67316089,0.190014881,0.288874248,0.22522641,0.433458079,0.401078052,0.198339241,0.706246344,0.397828756,0.74626109,0.19497387,0.104541303,0.043880458,0.191613492,0.137327182,0.046783119,0.15521629
3,3.210978093,0.344379963,0.424545512,0.6,0.983429864,0.867053818,1,0.294525921,0.514307266,0.488126711,0.148580743,0.262963456,0.230373014,0.181687303,0.173771364,0.206475032,0.416637016,0.356206746,0.184238682,0.587255426,0.417372919,0.524529874,0.308831207,0.406355902,0.207376743,0.221300743,0.489373258,0.40426736,0.260231563
4,5.505949693,1,0.513685008,0.849579132,1,0.451035814,0.263079594,0.756364817,0.514299739,0.209852873,0.44361708,0.273378535,0.495647765,0.241070077,0.43523007,0.2628179,0.302722565,0.235934617,0.46790827,0.443654648,0.361399993,0.363574018,0.189898493,0.144273084,0.080615839,0.16600606,0.334937388,0.126412833,0.14568723
5,77.25894937,0.570622637,0.346998302,0.703803376,0.393046139,0.32652981,0.623784974,0.143472094,0.232237249,0.717896582,0.291479863,0.089610697,0.383379325,0.682430304,0.287109858,0.237707138,0.138654645,0.229379653,0.355860449,0.251834907,0.30672338,0.125285285,0.048429184,0.115590163,0.201604348,0.166341548,0.298319023,0.376764066,0.269875535
6,73.12414713,0.308108456,0.423197376,0.546687559,0.378116497,0.602210629,0.538391663,0.644173196,0.274551611,0.308549916,0.201724762,0.275489284,0.994884491,0.299634926,0.210424749,0.167512476,0.202948001,0.287252435,0.298937065,0.551551181,0.466738185,0.382488503,0.226668069,0.218789212,0.134842036,0.485766807,0.279222215,0.23674858,0.290566827
7,100.4565844,0.527062428,0.769260386,0.952128146,1,0.441628979,0.441628979,0.441628979,0.549362135,0.443310087,0.425388017,0.987632883,1,1,0.37106201,0.436196593,0.383108199,0.391014066,0.205406347,0.378534847,0.157887835,0.471687357,0.248007067,0.154326087,0.11632661,0.072983013,0.084585901,0.31822239,0.114919078
8,52.72693363,0.386791316,0.432341307,0.555248383,0.246460602,0.320372993,0.393650233,0.389479974,0.177759166,0.295014421,0.191840882,0.116442061,0.40025658,0.252151696,0.229218204,0.606269228,0.194791983,0.205939401,0.370245679,0.379433651,0.431539632,0.461482283,0.383916145,0.292735355,0.154812103,0.152242785,0.135748399,0.261369711,0.410211188
9,45.91722285,0.49,0.649913088,0.99454988,1,0.630355628,0.492938123,0.85138653,0.061999761,0.494400052,0.840603943,0.350022654,1,0.4951357,0.136955688,0.48,1,0.522572104,0.9999917,0.398826386,0.634049912,0.476734333,0.433180966,0.19962734,0.260275886,0.427929497,0.366683713,0.217692528,0.336285967
10,72.53626287,0.576019318,0.232493773,0.520844713,0.038001012,0.18689948,0.291157948,0.31065907,0.22621283,0.085790143,0.076651817,0.136922422,0.370083517,0.311754356,0.202546321,0.475388256,0.340338773,0.360299174,0.469953974,0.489248529,0.374850398,0.473254646,0.123724504,0.145465663,0.091742842,0.019522849,0.060156723,0.273841659,0.383063148
