id,stage,F3_sp,F4_sp,C3_sp,C4_sp,O1_sp,O2_sp,P3_sp,P4_sp,Fp1_sp,Fp2_sp,F7_sp,F8_sp,T7_sp,T8_sp,P7_sp,P8_sp,FT9_sp,FT10_sp,Fz_sp,Cz_sp,CPz_sp,Pz_sp,POz_sp,Fpz_sp,F3_sosp,F4_sosp,C3_sosp,C4_sosp,O1_sosp,O2_sosp,P3_sosp,P4_sosp,Fp1_sosp,Fp2_sosp,F7_sosp,F8_sosp,T7_sosp,T8_sosp,P7_sosp,P8_sosp,FT9_sosp,FT10_sosp,Fz_sosp,Cz_sosp,CPz_sosp,Pz_sosp,POz_sosp,Fpz_sosp
1,nREM2,373,403,578,456,743,584,766,681,310,303,331,298,357,296,597,396,316,316,388,413,695,751,745,289,86,110,105,96,15,11,80,71,81,59,32,34,18,9,17,5,7,5,118,119,110,94,48,74
1,SWS,142,153,166,136,196,151,239,189,4,105,123,106,132,97,170,108,111,90,134,154,201,229,229,85,13,27,74,74,77,59,22,11,62,87,35,44,20,25,13,8,5,8,8,13,118,76,154,101
2,nREM2,278,241,246,240,294,247,3,264,240,206,300,280,218,159,227,224,226,89,189,173,0,123,275,180,163,84,80,82,72,44,97,82,108,110,83,114,60,69,46,48,42,29,90,82,88,68,59,84
2,SWS,284,260,281,250,455,323,46,231,297,231,294,260,174,92,318,220,143,0,135,102,31,397,298,207,158,274,481,568,280,195,82,165,424,348,666,556,435,436,125,124,261,237,43,58,400,310,270,423
3,nREM2,560,538,579,506,311,356,637,46,13,60,245,163,145,86,247,160,0,27,529,558,589,634,600,0,84,128,124,124,3,2,98,76,111,113,73,105,35,36,16,9,11,6,161,166,138,121,71,114
3,SWS,160,140,153,130,44,54,158,97,52,5,40,6,19,1,20,9,10,0,151,163,171,173,139,6,9,56,110,105,30,34,35,6,83,40,73,49,27,23,5,14,10,3,6,4,110,86,48,95
4,nREM2,326,320,439,531,470,445,506,494,258,250,262,255,322,297,428,404,261,265,347,445,498,522,522,240,100,78,44,1,31,1,17,12,77,75,62,38,17,6,9,2,8,2,63,46,29,22,7,75
4,SWS,160,157,196,249,210,200,244,237,105,118,115,103,127,120,163,146,107,118,179,208,250,267,262,111,50,143,176,125,79,0,46,7,64,45,184,182,72,34,33,7,15,1,41,12,158,87,74,81
5,nREM2,539,584,584,574,575,587,580,668,428,525,403,495,419,530,473,553,396,425,577,667,704,690,685,497,121,95,74,3,60,5,54,37,102,117,61,56,26,32,14,13,6,17,99,61,73,61,31,105
5,SWS,267,279,292,266,333,264,302,322,223,203,201,197,243,212,254,264,211,162,298,345,360,352,330,213,22,182,195,135,158,19,106,31,52,55,160,248,78,97,45,36,17,23,23,21,242,230,201,86
6,nREM2,466,471,528,521,469,452,568,551,444,476,417,417,377,368,443,435,375,326,462,537,565,574,539,454,71,72,63,62,10,12,51,45,59,70,53,59,29,29,21,16,19,18,59,65,60,55,28,61
6,SWS,299,297,392,324,349,292,418,381,298,311,288,280,241,205,343,264,217,188,315,393,419,423,407,280,37,111,123,135,121,104,59,40,88,79,94,132,68,75,58,38,25,24,40,44,151,187,191,99
7,nREM2,343,389,416,439,289,326,470,501,280,334,289,315,259,281,288,285,184,236,364,512,0,549,515,300,121,86,89,60,0,5,24,27,115,97,85,71,28,18,4,5,23,13,92,77,97,37,17,86
7,SWS,159,162,157,143,110,98,160,167,126,146,124,125,110,114,107,105,87,83,152,180,0,2,172,126,43,103,141,125,52,33,1,0,46,32,176,171,76,60,23,20,7,11,37,17,95,74,143,42
8,nREM2,571,565,674,686,669,624,807,798,220,396,424,434,351,383,591,589,150,212,544,633,718,782,762,320,154,157,130,134,33,31,83,79,126,146,139,142,46,45,25,28,24,26,156,139,99,85,78,141
